run-id,timestamp,config-id,question-id,repeat,dataset,source,question-tags,status,clarification-rounds,terminal-clarification?,grounding-mode,answer-substring-hit?,answer-judge-verdict,answer-judge-score,answer-judge-rationale,answer-judge-model,task-difficulty,task-difficulty-rationale,recall-at-5,recall-at-10,recall-at-20,citation-recall,golden-in-search-pool?,golden-pool-rank,golden-in-display?,golden-display-rank,golden-read?,golden-features,pool-head,search-passes,issued-queries,insufficiency-fired?,refinement-corpus-grounded?,enrichment-hits,n-retrieved,n-cited,n-expected,retrieved-chunk-ids,cited-chunk-ids,expected-chunk-ids,elapsed-ms,prompt-tokens,completion-tokens,total-tokens,cached-tokens,llm-calls,reasoning-tokens,finish-reason,length-finish?,empty?,steps-executed,response,error
dde6ee5a-68af-4a1d-bf30-db53dd36c953,2026-06-14T23:51:45.592227Z,snippet-AB,ue-authz-04-opprette-tilgangsliste-medlemmer,0,public-docs,new,"altinn-authorization,hard",complete,0,false,chunks+answer,true,correct,0.9,"Svaret dekker riktig PUT-endepunkt med owner/identifier og name/description samt POST-endepunktet for å legge til ett organisasjonsmedlem identifisert med urn i data-feltet, med bare en liten mulig uklarhet ved at eksempelet viser data som en én-elements array.",gpt-5.5,3,"Spørsmålet er en todelt operasjon som krever å koble opprettelse av tilgangsliste og medlemsinnlegging, men bruker direkte API-vokabular og kommer trolig fra samme dokumentasjon.",1.0,1.0,1.0,1.0,true,1,true,1,true,"d71a2362d8513 R22.2 P3.4 h3.0 or0.9 L567 3/? ty:hypothetical-questions+metadata+phrase b[0.0,0.0,0.0,0.1,0.1,0.0] +q | Manage accesslist api",,1,opprett tilgangsliste API | tilgangsliste organisasjon medlem API | access list create organization member API | legge til organisasjon tilgangsliste API | tilgangsliste API opprette medlem,false,,81,3,1,1,c95081d798ce;92ccd3cd8025;1a5230c44562,c95081d798ce,c95081d798ce,193460,5351,507,5858,0,2,0,tool_calls,false,false,3," For å opprette en ny tilgangsliste og legge til organisasjoner som medlemmer via API-et, gjør du følgende:

**1. Opprette tilganglisten**
Send en **PUT**-forespørsel til `/access-lists/{owner}/{identifier}`, der `owner` er organisasjonskoden og `identifier` er en valgt ID for listen [1]. Eksempel på payload:

```json
{
  ""name"": ""Godkjente banker"",
  ""description"": ""Denne listen inneholder godkjente banker i henhold til regel 123""
}
```

**2. Legge til medlemmer**
Send deretter en **POST**-forespørsel til `/access-lists/{owner}/{identifier}/members` med et medlem [1]. Medlemmet kan identifiseres med forskjellige ID-er, men bare én kan gis [1]. For å legge til en organisasjon som medlem, kan payload for eksempel se slik ut:

```json
{
  ""data"": [""urn:altinn:organization:identifier-no:123456789""]
}
```",
33f9caf4-2c46-44ef-a848-8e5b19d575e0,2026-06-14T23:58:11.526734Z,snippet-AB,ue-authz-04-opprette-tilgangsliste-medlemmer,1,public-docs,new,"altinn-authorization,hard",complete,0,false,chunks+answer,true,correct,0.85,"The candidate gives the correct two-step flow with the PUT and POST endpoints, owner/identifier meanings, name/description payload, and organization URN in the data field, though it adds unsupported scope details and uses an array form for data that is not stated in the reference.",gpt-5.5,3,The question uses direct documentation vocabulary but requires combining two related API operations and payload details from the same topic.,1.0,1.0,1.0,1.0,true,1,true,1,true,"d71a2362d8513 R23.9 P4.9 h4.0 or2.0 L567 3/? ty:content+hypothetical-questions+metadata+phrase b[0.0,0.0,0.0,0.5,0.2,0.0] +q | Manage accesslist api",,1,opprette ny tilgangsliste og legge til organisasjoner som medlemmer via api-et | opprett ny tilgangsliste via api | legg til organisasjoner som medlemmer i listen din | tilgangsliste med utvalgte organisasjoner | legge til medlemmer i listen via api | opprett ny tilgangsliste og legg til organisasjoner som medlemmer,false,,109,5,2,1,1a5230c44562;8aebe6275968;fe2315eff838;c95081d798ce;92ccd3cd8025,fe2315eff838;c95081d798ce,c95081d798ce,546154,6901,550,7451,0,3,0,tool_calls,false,false,3," For å opprette en ny tilgangsliste og legge til organisasjoner som medlemmer via API-et, følger du disse stegene:

**Forberedelser:** Klienten må være definert i Maskinporten med scopene `altinn:resourceregistry/accesslist.read`, `altinn:resourceregistry/accesslist.write` og `altinn:resourceregistry/resource.write`. Du bestiller tilgang til scopene i Samarbeidsportalen ved å kontakte tjenesteeier@altinn.no per e-post [1].

**1. Opprett tilgangslisten**

Send en **PUT**-forespørsel til endepunktet:

`/access-lists/{owner}/{identifier}`

Hvor `owner` er organisasjonskoden og `identifier` er en valgt ID for listen [2].

Eksempel på payload:

```json
{
  ""name"": ""Godkjente banker"",
  ""description"": ""Denne listen inneholder godkjente banker i henhold til regel 123""
}
```

**2. Legg til organisasjoner som medlemmer**

Send en **POST**-forespørsel til:

`/access-lists/{owner}/{identifier}/members`

Medlemmet kan identifiseres med forskjellige ID-er, men bare én kan gis om gangen [2].

Eksempel på payload for å legge til en organisasjon:

```json
{
  ""data"": [""urn:altinn:organization:identifier-no:123456789""]
}
```",
ec6d1444-fe46-486e-bd0a-1c460fa73813,2026-06-14T23:59:07.723563Z,snippet-AB,ue-authz-04-opprette-tilgangsliste-medlemmer,2,public-docs,new,"altinn-authorization,hard",complete,0,false,chunks+answer,true,correct,0.9,"Svaret dekker riktig PUT-endepunkt med owner/identifier og name/description, samt POST-endepunktet for å legge til organisasjoner med URN i data-feltet uten å motsi hovedinnholdet i referansen.",gpt-5.5,3,"Spørsmålet er direkte formulert med dokumentasjonens begreper, men krever en todelt prosess med både opprettelse av liste og innlegging av medlemmer fra samme API-område.",1.0,1.0,1.0,1.0,true,1,true,1,true,"d71a2362d8513 R23.9 P4.9 h4.0 or2.0 L567 3/? ty:content+hypothetical-questions+metadata+phrase b[0.0,0.0,0.0,0.5,0.2,0.0] +q | Manage accesslist api",,1,opprette ny tilgangsliste og legge til organisasjoner som medlemmer via api | opprett ny tilgangsliste | legg til organisasjoner som medlemmer i listen din | administrere tilgangslister via api | legge til medlemmer i listen | tilgangsliste via api,false,,102,5,1,1,c95081d798ce;8507ec7e9431;f5cb44b1f0fd;8aebe6275968;92ccd3cd8025,c95081d798ce,c95081d798ce,540412,6837,563,7400,0,3,0,tool_calls,false,false,3," For å opprette en ny tilgangsliste via API-et sender du en **PUT**-forespørsel til `/access-lists/{owner}/{identifier}`, der `owner` er organisasjonskoden og `identifier` er en valgt ID for listen [1]. Payload-et skal for eksempel se slik ut:

```json
{
  ""name"": ""Godkjente banker"",
  ""description"": ""Denne listen inneholder godkjente banker i henhold til regel 123""
}
```

For å legge til organisasjoner som medlemmer sender du deretter en **POST**-forespørsel til `/access-lists/{owner}/{identifier}/members` [1]. Medlemmet kan identifiseres med forskjellige ID-er, men bare én kan gis [1]. Eksempel på payload:

```json
{
  ""data"": [""urn:altinn:organization:identifier-no:123456789""]
}
```",
92cb4c8b-660c-4c05-bae8-881309a3c356,2026-06-14T23:30:46.464653Z,snippet-AB,ue-corr-03-system-til-system-nedlasting,2,public-docs,new,"altinn-correspondence,hard",complete,0,false,chunks+answer,true,correct,0.98,"The candidate fully matches the reference: it recommends API/system-to-system integration for large volumes, notes the GUI inbox is for smaller manual handling, and describes Dialogporten/API-based automated discovery, download of messages/attachments, and archiving in own systems without contradiction.",gpt-5.5,3,"The question uses mostly direct terminology but asks for an applied recommendation with supporting rationale and workflow details, requiring some synthesis beyond a single bare fact.",1.0,1.0,1.0,1.0,true,2,true,2,true,"dd8ceec8ede98 R20.6 P3.6 h3.0 or1.6 L2876 1/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Systemprovider","ded50694d1946 R21.3 P2.5 h2.0 or1.1 L601 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Correspondence",1,meldinger med vedlegg API integrasjon | store mengder meldinger vedlegg | manuell behandling innboks vs API | last ned vedlegg API Altinn | håndtere vedlegg meldingstjeneste,false,,85,4,2,1,939545886fa9;bd74b75c8c74;d86b0c860b67;ddb524214c36,939545886fa9;d86b0c860b67,939545886fa9,223825,5372,575,5947,0,2,0,tool_calls,false,false,3," Dere bør **integrere mot API**, ikke behandle meldingene manuelt i innboksen. For virksomheter som håndterer større volum av meldinger eller meldinger med omfattende vedlegg, anbefales det å benytte system-til-system-integrasjon fremfor manuell oppfølging i Altinns brukergrensesnitt [1]. Innboksen i GUI er primært egnet for manuell behandling i mindre skala, mens effektiv håndtering av større mengder meldinger forutsetter integrasjon [1].

Ved å integrere sak-/arkivsystemet med Altinn via Dialogporten og tilhørende API-er kan virksomheten:

- automatisk oppdage og hente nye meldinger
- laste ned meldinger og alle vedlegg maskinelt
- journalføre og arkivere direkte i eget system
- redusere manuelle operasjoner og risiko for feil [1]

Dette muliggjør en arbeidsflyt der saksbehandling skjer i eget fagsystem, med Altinn som transport- og distribusjonskanal [1]. For at et sluttbrukersystem skal kunne brukes til dette, kreves det en maskin-til-maskin-integrasjon [2].",
950bea86-1681-4255-8905-c573c98890ec,2026-06-14T23:35:18.112595Z,snippet-AB,ue-corr-03-system-til-system-nedlasting,0,public-docs,new,"altinn-correspondence,hard",complete,0,false,chunks+answer,true,correct,0.98,"The candidate fully matches the reference recommendation to use system-to-system/API integration for large volumes, explains GUI inbox limitations, and includes the key Dialogporten/API capabilities without contradiction.",gpt-5.5,2,The question uses direct Altinn/API terminology and asks for a clear recommendation with a short supporting list likely found in one relevant documentation area.,1.0,1.0,1.0,1.0,true,1,true,1,true,"dd8ceec8ede98 R21.0 P3.8 h3.0 or2.4 L2876 1/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.1,0.0] +q | Systemprovider",,1,behandle meldinger med vedlegg i altinn manuelt eller integrere mot api | håndtering av større mengder meldinger | manuell oppfølging i altinns brukergrensesnitt | laste ned meldinger og alle vedlegg maskinelt | api-integrasjon for tjenesteeiere | guider for api-integrasjon for tjenesteeiere,false,,111,1,1,1,939545886fa9,939545886fa9,939545886fa9,545389,6659,702,7361,0,3,0,tool_calls,false,false,3," Dere bør **integrere mot API**, ikke behandle meldingene manuelt i innboksen. [1]

For virksomheter som håndterer større volum av meldinger eller meldinger med omfattende vedlegg, anbefales det å benytte system-til-system-integrasjon fremfor manuell oppfølging i Altinns brukergrensesnitt. [1] Innboksen i GUI er primært egnet for manuell behandling i mindre skala, mens effektiv håndtering av større mengder meldinger forutsetter integrasjon. [1]

Ved å integrere sak-/arkivsystemet med Altinn via Dialogporten og tilhørende API-er kan virksomheten:

- Automatisk oppdage og hente nye meldinger [1]
- Laste ned meldinger og alle vedlegg maskinelt [1]
- Journalføre og arkivere direkte i eget system [1]
- Redusere manuelle operasjoner og risiko for feil [1]

Dette integrasjonsmønsteret muliggjør en arbeidsflyt der saksbehandling skjer i eget fagsystem, med Altinn som transport- og distribusjonskanal. [1]",
25aeb1e7-4360-46bf-acdf-6a1ed5f30dd0,2026-06-14T23:40:12.089581Z,snippet-AB,ue-corr-03-system-til-system-nedlasting,1,public-docs,new,"altinn-correspondence,hard",complete,0,false,chunks+answer,true,correct,0.85,"Candidate gives the key recommendation to use API/Dialogporten integration rather than manual inbox handling for large volumes, though it is less explicit about automatic download of attachments and journal/archiving benefits.",gpt-5.5,3,The question uses fairly direct terminology but requires applying guidance about volume/manual inbox versus Dialogporten/API integration and its workflow implications.,0.0,0.0,0.0,0.0,false,,false,,false,,,1,behandle altinn-meldinger med vedlegg manuelt i innboksen eller via api | tilgjengeliggjøring av melding i altinn 3 melding api | api for altinn 3 meldingstjeneste | altinn 2 meldinger og vedlegg | pull-basert nedlasting av skjemadata,false,,82,5,3,1,80838dddd2b5;7aa2784b37f6;c6cd61e18b59;3260b6da8872;de1975b34059,80838dddd2b5;c6cd61e18b59;de1975b34059,939545886fa9,795312,6707,707,7414,0,3,0,tool_calls,false,false,3," Dere bør **integrere mot API** fremfor å behandle meldingene manuelt i innboksen, særlig når dere mottar store mengder.

Ifølge kildene kan mottakeren lese meldingen direkte i Arbeidsflate, men dersom dere integrerer meldingen i eget saks- og arkivsystem via Dialogportens API, får dere en smidig arbeidsflyt og full kontroll over informasjonsutvekslingen [2]. Videre anbefales det å benytte Altinn 3 APIene så fort som mulig [1], og sluttbrukersystemer får først opp Altinn 3-meldinger når de har integrert seg mot Altinn 3 [3].

For full oversikt over både Altinn 2- og Altinn 3-meldinger må dere uansett integrere dere mot APIene [3], og overgangen til Altinn 3 innebærer at nye meldinger i økende grad må følges opp via Altinn 3 API [1]. Manuell behandling i portalen er mulig, men API-integrasjon er den anbefalte løsningen for systematisk og effektiv håndtering av store volum.",
69306bf0-d65e-4936-ab83-57a6271dfc1b,2026-06-14T23:15:25.615818Z,snippet-AB,ue-broker-02-slette-tid-tilgjengelig,1,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,correct,0.95,"The candidate states the TTL control, default and maximum availability, and the purge-after-confirmation flag with grace-period default and maximum, with only minor wording differences from the reference.",gpt-5.5,3,"The question has two related parts requiring identifying the relevant Broker availability and purge settings, likely from the same documentation area, with mostly direct vocabulary.",1.0,1.0,1.0,0.0,true,1,true,1,true,"d479e27df943e R21.5 P3.6 h3.0 or1.3 L2440 0/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | What do you get",,1,Altinn Broker file download availability duration how long | Altinn Broker file deletion after recipient confirm | Altinn Broker retention policy file lifetime | Altinn Broker control file deletion expiry,false,,24,2,0,1,0127378417da;14d38d41ea63,,0127378417da,398112,14812,939,15751,0,4,0,stop,false,false,3," Based on the Altinn Broker documentation, here are the answers to your questions:

**How long a file stays available for download**

By default, a file is available for download for **30 days**. The sender determines this duration via the **`FileTransferTimeToLive`** parameter, which can be set to a maximum of **one year**.

**How to control deletion after recipients confirm**

You control this using two configuration parameters:

1. **`PurgeFileTransferAfterAllRecipientsConfirmed`** — Set this to `""true""` if you want the file to be deleted once all recipients have confirmed receipt.
2. **`PurgeFileTransferGracePeriod`** — If the above is enabled, this parameter specifies how long the file remains available for download *after* confirmation. The default is **2 hours**, and the maximum is **24 hours**.

After the configured period expires, the file becomes inaccessible.

*Source: [What do you get? — Altinn Broker documentation](https://docs.altinn.studio/en/broker/what-do-you-get/)*",
117df23f-eced-4cfd-b40f-73c6606ba6e5,2026-06-14T23:30:15.512048Z,snippet-AB,ue-broker-02-slette-tid-tilgjengelig,0,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,correct,0.9,"The candidate states the TTL setting with default and maximum and explains the purge-after-confirmation flag and grace period with default and maximum, with only minor wording imprecision around 'all recipients' versus 'all required recipients'.",gpt-5.5,3,"The question has two related parts and requires retrieving several configuration names and limits from the Broker docs, but the vocabulary is fairly direct and likely comes from one source.",1.0,1.0,1.0,1.0,true,1,true,1,true,"d479e27df943e R22.2 P1.4 h1.0 or1.0 L2440 0/? ty:content b[0.0,0.0,0.0,0.4,0.0,0.0] | What do you get",,2,how long are files available in altinn broker and how to control deletion after confirmation | file storage purging | file store purging | autodeleteonprocessend true | automatic deletion of data | intermediary storage of files and metadata | broker service settings PurgeFileTransferAfterAllRecipientsConfirmed | FileTransferTimeToLive broker service configuration | broker service owner configure purge settings,true,false,149,4,1,1,0127378417da;ff978b271bc9;58d70ee53466;14d38d41ea63,0127378417da,0127378417da,1288008,71718,1400,73118,0,10,0,tool_calls,false,false,3," Based on the Altinn Broker documentation I retrieved, here is how file availability and deletion control work:

## How long a file stays available

By default, a file is available for download for **30 days**. The maximum allowed is **one year** [^1^].

You control this through the **`FileTransferTimeToLive`** setting, which defines how long a file remains available for download before it expires.

## Controlling deletion after recipients confirm

Deletion after confirmation is controlled by two related settings on the Broker Service / resource configuration [^1^]:

| Setting | Purpose | Default / Limits |
|---|---|---|
| **`PurgeFileTransferAfterAllRecipientsConfirmed`** | Determines whether the file is automatically deleted once **all recipients** have confirmed receipt. | Boolean (true/false) |
| **`PurgeFileTransferGracePeriod`** | If `PurgeFileTransferAfterAllRecipientsConfirmed` is set to `true`, this specifies how long the file **remains available after confirmation** before being purged. | **Default:** 2 hours<br>**Maximum:** 24 hours |

## How it works in practice

- When all recipients confirm successful download, the system triggers an **""All Confirmed Downloaded""** event. Depending on the Broker Service settings, this may automatically purge the file [^2^].
- If recipients do not confirm within the `FileTransferTimeToLive`, an **""Expired""** event is triggered, and the file becomes inaccessible [^2^].
- Files can also reach the **Deleted** state either by automatic purge (based on the above settings) or by a specific request from the sender [^3^].

These settings are configured as part of the **Broker Service / resource configuration**, which is typically set up by the **Service Owner** when configuring the resource in the Broker API [^4^].

---

**Sources:**
- [^1^]: ""What do you get"" — Altinn Broker documentation
- [^2^]: ""Send files"" developer guide — event descriptions
- [^3^]: ""Basic concepts"" — file transfer process states
- [^4^]: Search results referencing Service Owner resource configuration",
fbbd81cf-6873-431d-95a4-3885d949ef48,2026-06-14T23:33:13.808329Z,snippet-AB,ue-broker-02-slette-tid-tilgjengelig,2,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,correct,0.9,"The candidate states the key facts from the reference: availability is controlled by FileTransferTimeToLive with default 30 days and max 1 year, and post-confirmation deletion is controlled by PurgeFileTransferAfterAllRecipientsConfirmed plus PurgeFileTransferGracePeriod with default 2 hours and max 24 hours, with no substantive contradiction.",gpt-5.5,2,The question uses the documentation’s own terminology and asks for a short set of related settings likely found together in one Broker resource configuration section.,1.0,1.0,1.0,1.0,true,2,true,2,true,"d479e27df943e R20.3 P2.5 h2.0 or1.0 L2440 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | What do you get","de960d2f402e0 R21.4 P2.6 h2.0 or1.6 L1302 4/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Getting started",3,how long files stay available in altinn broker and deletion control after recipients confirm | file deleted from broker | file was never confirmed downloaded | file storage purging | files will no longer be available | recipients download their files | PurgeFileTransferAfterAllRecipientsConfirmed API | FileTransferTimeToLive configuration | PurgeFileTransferGracePeriod how to set | configure resource broker API FileTransferTimeToLive | broker service owner configure purge settings | Altinn Broker API initialize upload file transfer time to live,true,false,167,6,2,1,0127378417da;2edd542ced1b;ff978b271bc9;14d38d41ea63;32c1542213b5;bc169ad3ed4b,0127378417da;bc169ad3ed4b,0127378417da,1466304,80825,2232,83057,0,10,0,tool_calls,false,false,3," Based on the Altinn Broker documentation, here is how file availability and deletion control work:

## How long a file stays available

By default, a file is available for download for **30 days**. The maximum allowed is **one year** [^0127378417da^].

This is controlled by the **`FileTransferTimeToLive`** setting on the Broker resource. For example, in transition scenarios from Altinn 2, the common value is `""30D""` (30 days) [^bc169ad3ed4b^].

If a recipient never downloads the file, an event called `no.altinn.broker.fileneverconfirmeddownloaded` is triggered at the expiry time [^2edd542ced1b^].

## How to control deletion after recipients confirm

You control post-confirmation deletion through two settings configured on the Broker resource:

1. **`PurgeFileTransferAfterAllRecipientsConfirmed`**  
   A boolean flag that determines whether the file is automatically deleted once **all recipients have confirmed receipt** [^0127378417da^].

2. **`PurgeFileTransferGracePeriod`**  
   If the above flag is set to `true`, this parameter defines how long the file **remains available after confirmation** before it is deleted.  
   - **Default:** 2 hours  
   - **Maximum:** 24 hours (must be specified as an ISO 8601 duration, e.g. `""PT24H""`) [^0127378417da^][^bc169ad3ed4b^].

## Where to configure these settings

These values are set when you **configure the Broker resource** via the API:

- **Endpoint:** `PUT /broker/api/v1/resource/{resourceId}`
- **Request body:** A `ResourceExt` JSON object containing the settings above [^3b433ef02414^].

Once all required recipients have confirmed download, the file transfer reaches the **All Confirmed Downloaded** state, and if purging is configured, the file moves to the **Deleted** state according to your grace period settings [^ff978b271bc9^].",
b247127d-c9e2-4f66-a18e-39fbbdf7462e,2026-06-14T23:38:44.711761Z,snippet-AB+complete,ue-notif-05-umiddelbar-varsling-otp,2,public-docs,new,"altinn-notifications,hard",complete,0,false,chunks+answer,true,partial,0.55,"Candidate identifies Umiddelbar varsling for one-recipient OTP use, but misses the key instruction to omit requestedSendTime and set sendingTimePolicy to Anytime, and contradicts the reference by describing the process as synchronous rather than semisynchronous with asynchronous delivery status.",gpt-5.5,4,"The question combines immediate OTP sending, 24/7 sending policy, and API/status semantics, with distractors between ordinary and immediate notification behavior.",1.0,1.0,1.0,1.0,true,2,true,2,true,"d5e8f2f62095c R21.1 P3.7 h3.0 or1.8 L1450 1/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Instant notifications","d5e8f2f62095c R21.3 P3.6 h3.0 or1.4 L406 0/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Instant notifications",1,øyeblikkelig varsel OTP engangskode innlogging | varsling umiddelbart døgnet rundt SMS e-post | instant notification Altinn login one-time code | varseltjeneste sende melding øyeblikkelig døgnåpent,false,,70,4,2,1,0c1240cde11a;046877b17d91;6867b929f5ec;ac79c052a64e,046877b17d91;ac79c052a64e,046877b17d91,566759,5597,513,6110,0,2,0,tool_calls,false,false,3," Ja, **Umiddelbar varsling** i Altinn Varsling er laget for dette formålet. Den sender meldinger **øyeblikkelig** til **én mottaker** (e-post eller telefonnummer) og egner seg spesielt for tidskritiske meldinger som engangskoder (OTP) ved innlogging [1]. Varselet omgår køen og sendes umiddelbart til meldingsgatewayen når API-kallet gjøres [1]. For SMS-baserte umiddelbare varsler må du oppgi et `timeToLiveInSeconds`-felt [2].

Når det gjelder utsending **hele døgnet**, er det en viktig distinksjon i kildene: Info-boksen forklarer at *vanlig varsling* med `sendingTimePolicy: ""Anytime""` tillater utsending hele døgnet, men at denne kombinasjonen likevel vanligvis gir levering i løpet av et par minutter [1]. For *umiddelbar varsling* presiserer kilden at bestillingen og utsendingen skjer synkront og umiddelbart frem til leverandøren, men den eksplisitte «hele døgnet»-merkelappen er knyttet til forklaringen om vanlig varsling, ikke direkte til umiddelbar varsling [1]. Siden umiddelbar varsling likevel omgår køen og leveres direkte ved bestilling, er den riktige løsningen for øyeblikkelig OTP-levering.",
