run-id,timestamp,config-id,question-id,repeat,dataset,source,question-tags,status,clarification-rounds,terminal-clarification?,grounding-mode,answer-substring-hit?,answer-judge-verdict,answer-judge-score,answer-judge-rationale,answer-judge-model,task-difficulty,task-difficulty-rationale,recall-at-5,recall-at-10,recall-at-20,citation-recall,golden-in-search-pool?,golden-pool-rank,golden-in-display?,golden-display-rank,golden-read?,golden-features,pool-head,search-passes,issued-queries,insufficiency-fired?,refinement-corpus-grounded?,enrichment-hits,n-retrieved,n-cited,n-expected,retrieved-chunk-ids,cited-chunk-ids,expected-chunk-ids,elapsed-ms,prompt-tokens,completion-tokens,total-tokens,cached-tokens,llm-calls,reasoning-tokens,finish-reason,length-finish?,empty?,steps-executed,response,error
e124a3e6-52b7-455e-a7e0-70d0eefcde31,2026-06-15T12:42:02.969868Z,kimi-deployed,wg-security-01-information-security,0,public-docs,new,"compound,lookup,altinn-3-general,list",complete,0,false,chunks+answer,true,correct,1.0,"The candidate accurately lists the three components—confidentiality, integrity, and availability—with definitions matching the reference and no contradictions.",gpt-5.5,2,"The question asks for a short explicit list using the same terminology as the documentation, likely found in one relevant chunk.",1.0,1.0,1.0,1.0,true,1,true,1,true,"d7108d23413d7 R22.6 P2.7 h2.0 or1.5 L3477 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | About security in altinn",,1,Digdir GDPR Article 32 information security | Digdir personopplysninger sikkerhet GDPR artikkel 32 | information security GDPR Article 32 Digdir obligations | Digdir sikkerhetsplikter GDPR artikkel 32,false,,0,3,1,1,07f1eb6a3f5b;a4ab2e66fd81;55d8a7a152ce,07f1eb6a3f5b,07f1eb6a3f5b,77512,4860,284,5144,0,2,0,tool_calls,false,false,3," According to Digdir’s obligations under GDPR Article 32, information security comprises [1]:

- **Confidentiality** — protection against unauthorized access to the information.
- **Integrity** — protection against accidental alteration of the information.
- **Availability** — making sure that adequate and relevant information is accessible.",
c4137a65-bdfd-4795-9637-9457853927db,2026-06-15T12:42:12.707102Z,kimi-deployed,wg-security-01-information-security,1,public-docs,new,"compound,lookup,altinn-3-general,list",complete,0,false,chunks+answer,true,correct,0.95,"The candidate states all three required components—confidentiality, integrity, and availability—with the same explanations as the reference and no substantive contradiction.",gpt-5.5,2,"The question asks for a short, explicit list using direct terminology likely found in a single documentation chunk.",1.0,1.0,1.0,1.0,true,2,true,2,true,"d7108d23413d7 R21.8 P2.7 h2.0 or1.1 L3477 0/? ty:content+phrase b[0.1,0.0,0.0,0.4,0.1,0.0] | About security in altinn","d63e81e20b90b R23.6 P2.6 h2.0 or1.3 L5315 9/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Privacy assessments",1,Digdir GDPR Article 32 information security obligations | GDPR artikkel 32 Digdir informasjonssikkerhet | Digdir personopplysninger sikkerhet Article 32 | Altinn Digdir information security GDPR obligations,false,,0,1,1,1,07f1eb6a3f5b,07f1eb6a3f5b,07f1eb6a3f5b,84877,4839,245,5084,0,2,0,tool_calls,false,false,3," According to Digdir's obligations under GDPR Article 32, information security comprises three components [1]:

1. **Confidentiality** — protection against unauthorized access to the information.
2. **Integrity** — protection against accidental alteration of the information.
3. **Availability** — making sure that adequate and relevant information is accessible.",
27dc3f77-aad0-4c63-ad3d-4a88540ae53b,2026-06-15T12:42:37.867384Z,kimi-deployed,wg-security-01-information-security,2,public-docs,new,"compound,lookup,altinn-3-general,list",complete,0,false,chunks+answer,true,correct,1.0,"The candidate states all three components—confidentiality, integrity, and availability—with the same meanings as the reference and no contradictions.",gpt-5.5,2,The question uses direct terminology and asks for a short explicit list likely found in a single relevant documentation chunk.,1.0,1.0,1.0,1.0,true,2,true,2,true,"d7108d23413d7 R21.8 P1.5 h1.0 or0.8 L3477 0/? ty:content b[0.0,0.0,0.0,0.4,0.0,0.0] | About security in altinn","d63e81e20b90b R23.6 P1.5 h1.0 or1.0 L5315 9/? ty:content b[0.0,0.0,0.0,0.4,0.0,0.0] | Privacy assessments",1,Digdir GDPR Article 32 information security obligations | Digdir personopplysningsloven kapittel 2 informasjonssikkerhet | Digdir GDPR artikkel 32 informasjonssikkerhet | Digdir security measures personal data processing,false,,0,2,2,1,07f1eb6a3f5b;ccf66d4d64c5,07f1eb6a3f5b;ccf66d4d64c5,07f1eb6a3f5b,109399,4799,283,5082,0,2,0,tool_calls,false,false,3," According to Digdir's obligations under GDPR Article 32, information security comprises [1][2]:

- Ensuring confidentiality; protection against unauthorized access to the information.
- Ensuring integrity; protection against accidental alteration of the information.
- Ensuring availability; making sure that adequate and relevant information is accessible.",
f9b0b5ba-0def-4325-9919-ba913d122e70,2026-06-15T12:40:20.258453Z,kimi-deployed,wg-events-02-query-params-org,0,public-docs,new,"compound,lookup,list,altinn-events",complete,0,false,chunks+answer,true,correct,0.85,"The candidate includes all the query-parameter meanings and the default size from the reference, though it adds some uncertainty and inferred parameter names not present in the reference.",gpt-5.5,2,The question uses the exact endpoint and terminology and requires extracting a straightforward list of parameters from a likely single API documentation chunk.,1.0,1.0,1.0,0.0,true,2,true,2,true,"df3874b9374bc R24.3 P1.7 h1.0 or0.8 L3298 1/? ty:content b[0.1,0.0,0.0,0.4,0.2,0.0] | Query app events org","def28a8b441dc R25.0 P2.7 h2.0 or1.1 L3398 1/? ty:content+phrase b[0.1,0.0,0.0,0.4,0.1,0.0] | Query events",1,Altinn Events GET /app/{org}/{app} query parameters | Altinn Events app events endpoint query parameters | GET app org app events Altinn query parameters | Altinn Events API retrieve app events parameters | Altinn Events swagger app events query,false,,0,2,1,1,795a3cfdb040;56f8df5b354d,795a3cfdb040,56f8df5b354d,247559,4630,231,4861,0,2,0,tool_calls,false,false,3," Based on the provided context, the GET `/app/{org}/{app}` endpoint accepts the following query parameters [1]:

- **`after`** — ID of the event last retrieved, type: `string`. The result set includes events registered after the provided event ID in chronological order. This name is confirmed by the example request URL [1].
- **`from`** — The lower limit for when the cloud event was registered in UTC, type: `string(date-time)`. Accepted format is `2023-02-16T18:00Z`. This name is confirmed by the example request URL [1].
- **Upper time limit** — The upper limit for when the cloud event was registered in UTC, type: `string(date-time)`. Accepted format is `2023-02-16T18:00Z`. The exact query parameter name is not explicitly stated in the source, although it is commonly inferred as `to` [1].
- **Party ID** — The party ID representing the subject of the cloud event. The exact query parameter name is not explicitly stated in the source [1].
- **Organisation number** — The organisation number representing the unit in the cloud event's alternative subject. The exact query parameter name is not explicitly stated in the source [1].
- **Person number** — The person number representing the person in the cloud event's alternative subject. The exact query parameter name is not explicitly stated in the source [1].
- **Event types** — The event types to include, type: `array[string]`. The exact query parameter name is not explicitly stated in the source [1].
- **`size`** — Size of the result set, type: `string`. Default size is 50 events. This name is confirmed by the example request URL [1].

**Ambiguity note:** The source describes all of these parameters, but only the example request explicitly confirms the query names `after`, `from`, and `size` [1]. For the remaining parameters, the source provides descriptions but does not state the exact query parameter names.",
052bbe2e-732b-40af-ae9a-7b6bf6646ac9,2026-06-15T12:40:27.908781Z,kimi-deployed,wg-events-02-query-params-org,1,public-docs,new,"compound,lookup,list,altinn-events",complete,0,false,chunks+answer,true,correct,0.95,"The candidate lists all accepted query parameters with the same meanings and default size as the reference, with only an extra condition not mentioned in the reference that does not contradict the requested information.",gpt-5.5,2,The question uses the endpoint's exact terminology and asks for a direct list of parameters likely found in one API documentation chunk.,1.0,1.0,1.0,1.0,true,3,true,3,true,"df3874b9374bc R21.6 P2.8 h2.0 or1.3 L3298 1/? ty:content+phrase b[0.1,0.0,0.0,0.4,0.2,0.0] | Query app events org","ded395f8d462f R22.7 P1.5 h1.0 or1.0 L5455 0/? ty:content b[0.0,0.0,0.0,0.4,0.0,0.0] | Instances ;; d1c1c23ebf524 R22.7 P1.6 h1.0 or0.5 L2962 1/? ty:content b[0.1,0.0,0.0,0.4,0.1,0.0] | Query app events enduser",1,query parameters accepted by altinn events get app org app endpoint | get app org app query parameters | the get app org app endpoint accepts the following query parameters | altinn events api query parameters for get app org app | query parameters accepted by get app org app | altinn app events can be retrieved using get app org app,false,,0,1,1,1,56f8df5b354d,56f8df5b354d,56f8df5b354d,248234,5807,328,6135,0,3,0,tool_calls,false,false,3," Based on the provided source, the `GET /app/{org}/{app}` endpoint accepts the following query parameters [1]:

- **`after`** — ID of the event last retrieved; type: `string`. The result set will include events registered after the provided event ID in chronological order [1].
- **`from`** — The lower limit for when the cloud event was registered in UTC; type: `string(date-time)`. Accepted format is `2023-02-16T18:00Z` [1].
- **`to`** — The upper limit for when the cloud event was registered in UTC; type: `string(date-time)`. Accepted format is `2023-02-16T18:00Z` [1].
- **`party`** — The party ID representing the subject of the cloud event [1].
- **`unit`** — The organisation number representing the unit in the cloud event's alternative subject [1].
- **`person`** — The person number representing the person in the cloud event's alternative subject [1].
- **`type`** — The event types to include; type: `array[string]` [1].
- **`size`** — Size of the result set; type: `string`. Default size is set to `50` events [1].

Note that either `from` or `after` must be provided; a request missing both returns `400 Bad Request` with the message ""The 'From' or 'After' parameter must be defined."" [1].",
7c3eb060-4ed9-44da-a937-c2c0d6420d47,2026-06-15T12:40:31.760914Z,kimi-deployed,wg-events-02-query-params-org,2,public-docs,new,"compound,lookup,list,altinn-events",complete,0,false,chunks+answer,true,correct,0.88,"The candidate lists all eight accepted parameters with meanings and the default size, with only minor unsupported extra detail and uncertainty notes that do not materially contradict the reference.",gpt-5.5,2,The question uses the exact endpoint and terminology and asks for a short parameter list likely found in one API documentation chunk.,1.0,1.0,1.0,1.0,true,1,true,1,true,"df3874b9374bc R24.5 P2.9 h2.0 or1.4 L3298 1/? ty:content+phrase b[0.1,0.0,0.0,0.4,0.2,0.0] | Query app events org",,1,GET /app/{org}/{app} events query parameters | Altinn Events GET app org app query parameters | Altinn Events app endpoint query params after subject party from to | Altinn Events swagger GET /app/{org}/{app} | Altinn Events hendelser app org app parametere,false,,0,1,1,1,56f8df5b354d,56f8df5b354d,56f8df5b354d,249249,4710,214,4924,0,2,0,tool_calls,false,false,3," The Altinn Events `GET /app/{org}/{app}` endpoint accepts the following query parameters [1]:

- **`from`** — the lower limit for when the cloud event was registered in UTC; type `string(date-time)`. Accepted format is `2023-02-16T18:00Z` [1]. This key appears explicitly in the example request (`?from=2023-02-16T18:00Z&size=2`) [1] and in the `Next` header [1].
- **`after`** — ID of the event last retrieved; type `string`. The result set includes events registered after the provided event ID in chronological order [1]. This key appears explicitly in the `Next` header (`after=fc12dc69-fcd4-43c6-9fde-b94fcdcc3597`) [1] and is named in the 400 Bad Request error detail [1].
- **`size`** — size of the result set; type `string`. Default size is 50 events [1]. This key appears explicitly in the example request and in the `Next` header [1].
- **`to`** — the upper limit for when the cloud event was registered in UTC; type `string(date-time)`. Accepted format is `2023-02-16T18:00Z` [1]. The source describes this as the upper-limit counterpart to `from`; the exact query key is not explicitly shown in the snippets, but it is the conventional name paired with `from`.
- **`party`** — the party ID representing the subject of the cloud event [1]. The exact query key is inferred from the descriptive label.
- **`unit`** — the organisation number representing the unit in the cloud event's alternative subject [1]. The exact query key is inferred from the descriptive label.
- **`person`** — the person number representing the person in the cloud event's alternative subject [1]. The exact query key is inferred from the descriptive label.
- **`type`** — the event types to include; type `array[string]` [1]. The exact query key is inferred from the descriptive label.

**Ambiguity note:** The source lists these parameters as descriptive bullet points without always providing the exact query-string keys. The keys `from`, `after`, and `size` are unambiguous because they appear in the example request, the `Next` header, or the error message [1]. The keys `to`, `party`, `unit`, `person`, and `type` are the conventional mappings of the descriptive labels, but they are not explicitly labeled as query keys in the provided text [1].

Additionally, either `from` or `after` must be defined; otherwise the endpoint returns `400 Bad Request` with the message ""The 'From' or 'After' parameter must be defined."" [1].",
221afbf6-8345-4e65-9f6e-b8bb2eb0cbfd,2026-06-15T12:22:00.782011Z,kimi-deployed,wg-studio-02-sideinnstillinger,1,public-docs,new,"compound,lookup,altinn-studio,list",complete,0,false,chunks+answer,true,correct,0.95,"Candidate lists all pages-object settings from the reference with correct types and descriptions, with only a minor extra note that does not contradict the reference.",gpt-5.5,2,The question uses the exact documentation terms and asks for a direct list likely found in a single Settings.json/pages documentation chunk.,1.0,1.0,1.0,1.0,true,6,true,6,true,"d20cbf3c2523d R20.3 P2.6 h2.0 or1.3 L8265 1/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Pages","dd8e7dc7970dc R23.1 P2.6 h2.0 or0.8 L8500 1/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Pages ;; da2ec266ed286 R21.3 P2.5 h2.0 or0.3 L792 1/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Translation ;; db3763b2a78e8 R21.1 P1.4 h1.0 or1.0 L2453 1/? ty:content b[0.0,0.0,0.0,0.4,0.0,0.0] | Navigation ;; db3763b2a78e8 R21.0 P2.5 h2.0 or0.3 L1123 5/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Navigation ;; d275663ecf788 R20.4 P1.4 h1.0 or0.0 L1278 2/? ty:content b[0.0,0.0,0.0,0.4,0.0,0.0] | Subform pdf",1,Settings.json pages object Altinn | pages innstillinger Settings.json Altinn app | Settings.json pages settings | Altinn Settings.json pages,false,,0,1,1,1,d2209cafc7cc,d2209cafc7cc,d2209cafc7cc,105561,4813,272,5085,0,2,0,tool_calls,false,false,3," I `pages`-objektet i `Settings.json` kan du konfigurere følgende innstillinger for sidene i en Altinn-app [1]:

| Egenskap | Type | Beskrivelse |
|---|---|---|
| `order` | Array | Rekkefølgen på sidene. |
| `excludeFromPdf` | Array | Sider som skal ekskluderes fra PDF. |
| `hideCloseButton` | Boolean | Om tilbake til innboks-knappen øverst i venstre hjørne skal skjules. |
| `showLanguageSelector` | Boolean | Om språkvelgeren skal vises. |
| `showExpandWidthButton` | Boolean | Om utvid-bredde-knappen skal vises. |
| `showProgress` | Boolean | Om fremdriftsindikatoren skal vises. |
| `pdfLayoutName` | String | Navn på egendefinert PDF-layout. |
| `groups` | Array | Gruppering av sider. |
| `expandedWidth` | Boolean | Om siden skal bruke utvidet skjemabredde. |

Merk at `expandedWidth` også kan settes på andre nivåer (for eksempel i `layout-sets.json` under `uiSettings` eller direkte i en layout-fil under `data`), men den kan altså også settes i `pages`-objektet i `Settings.json` [1].",
be8bc472-f4f0-4f5d-a186-2da9b40a0d30,2026-06-15T12:22:28.126901Z,kimi-deployed,wg-studio-02-sideinnstillinger,2,public-docs,new,"compound,lookup,altinn-studio,list",complete,0,false,chunks+answer,true,partial,0.7,"Kandidaten dekker alle innstillingene i referansen, men legger til `taskNavigation` og detaljer om gruppeegenskaper som ikke er oppgitt som støttede `pages`-innstillinger i referansen.",gpt-5.5,2,Spørsmålet bruker eksakt dokumentasjonsvokabular og ber om en konkret liste fra én sannsynlig Settings.json-seksjon.,1.0,1.0,1.0,1.0,true,1,true,1,true,"d20cbf3c2523d R21.5 P2.6 h2.0 or0.9 L8265 1/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Pages",,1,pages Settings.json Altinn app innstillinger | pages object Settings.json Altinn | Settings.json pages konfigurasjon Altinn | Altinn Settings.json pages options | pages settings Altinn app layout,false,,0,2,2,1,d2209cafc7cc;7273bb362791,d2209cafc7cc;7273bb362791,d2209cafc7cc,132905,4932,312,5244,0,2,0,tool_calls,false,false,3," I `pages`-objektet i `Settings.json` kan du blant annet konfigurere følgende innstillinger for sidene i en Altinn-app:

- `order` – rekkefølgen på sidene [1]
- `excludeFromPdf` – hvilke sider som skal ekskluderes fra PDF [1]
- `hideCloseButton` – om tilbake til innboks-knappen skal skjules [1]
- `showLanguageSelector` – om språkvelgeren skal vises [1]
- `showExpandWidthButton` – om utvid bredde-knappen skal vises [1]
- `showProgress` – om fremdriftsindikator skal vises [1]
- `pdfLayoutName` – navn på egendefinert PDF-layout [1]
- `expandedWidth` – om siden skal bruke utvidet skjemabredde [1]
- `groups` – gruppering av sider i en sidemeny i stedet for tradisjonell rekkefølge [1][2]
- `taskNavigation` – visning av hele prosessen i navigasjonsmenyen per layout-sett [2]

Dersom du bruker `groups`, erstatter du `pages.order` med `pages.groups` [2]. Hver gruppe kan ha egenskapene `name`, `type`, `markWhenCompleted`, `expandedByDefault` og `order` [2].",
8173879b-d8ff-42ab-8944-5814fa7182cb,2026-06-15T12:23:42.563305Z,kimi-deployed,wg-studio-02-sideinnstillinger,0,public-docs,new,"compound,lookup,altinn-studio,list",complete,0,false,chunks+answer,true,partial,0.7,"Svareren dekker alle innstillingene i referansen, men legger til `taskNavigation` som en ekstra `pages`-innstilling som ikke støttes av referansefasiten og gjør listen overinkluderende.",gpt-5.5,2,"Spørsmålet bruker direkte dokumentasjonsvokabular og ber om en eksplisitt liste fra én Settings.json/pages-kontekst, selv om listen har flere elementer.",1.0,1.0,1.0,1.0,true,4,true,4,true,"d20cbf3c2523d R21.8 P2.6 h2.0 or0.8 L8265 1/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Pages","dd8e7dc7970dc R23.6 P2.6 h2.0 or0.8 L8500 1/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Pages ;; db3763b2a78e8 R22.7 P2.5 h2.0 or1.0 L2453 1/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Navigation ;; da2ec266ed286 R22.1 P2.5 h2.0 or0.3 L792 1/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Translation",1,"pages Settings.json Altinn app | ""pages"" ""Settings.json"" Altinn | Settings.json pages objekt innstillinger | Altinn Settings.json pages settings | pages object Settings.json Altinn 3",false,,0,3,3,1,d2209cafc7cc;7273bb362791;924de42ebc30,d2209cafc7cc;7273bb362791;924de42ebc30,d2209cafc7cc,207342,4939,252,5191,0,2,0,tool_calls,false,false,3," Ifølge kildene kan følgende innstillinger settes i `pages`-objektet i `Settings.json` for sidene i en Altinn-app:

| Egenskap | Type | Beskrivelse |
|----------|------|-------------|
| `order` | Array | Angir rekkefølgen på sidene. [1] |
| `excludeFromPdf` | Array | Angir hvilke sider som skal ekskluderes fra PDF. [1] |
| `hideCloseButton` | Boolean | Om tilbake til innboks-knappen øverst i venstre hjørne skal skjules. [1] |
| `showLanguageSelector` | Boolean | Om språkvelgeren skal vises, slik at brukeren kan bytte språk under utfylling. [1][3] |
| `showExpandWidthButton` | Boolean | Om utvid bredde-knappen skal vises. [1] |
| `showProgress` | Boolean | Om fremdriftsindikator skal vises. [1] |
| `pdfLayoutName` | String | Navn på egendefinert PDF-layout. [1] |
| `groups` | Array | Brukes til å gruppere sider i en sidemeny i stedet for tradisjonell `order`. [1][2] |
| `expandedWidth` | Boolean | Setter standard breddehåndtering for sidene til utvidet. [1] |
| `taskNavigation` | Array | Viser hele prosessen i navigasjonsmenyen for et layout-sett. [2] |

Merk at `taskNavigation` også kan konfigureres for hele appen i `layout-sets.json` via `uiSettings.taskNavigation`, mens `pages.taskNavigation` i `Settings.json` gjelder per layout-sett [2]. Videre kan `expandedWidth` settes på flere nivåer: i `layout-sets.json` (`uiSettings.expandedWidth`), i `Settings.json` (`pages.expandedWidth`) og i den enkelte layout-filen (`data.expandedWidth`), der den mest spesifikke verdien overskriver de mer generelle [1].",
ce09e92f-e4db-4b8f-badd-e61007f1ba76,2026-06-15T12:43:40.416775Z,kimi-deployed,wg-apptmpl-02-app-process-components,2,public-docs,new,"compound,lookup,altinn-3-general,list",complete,0,false,chunks+answer,true,correct,0.85,"The candidate establishes the key components and responsibilities from the reference, though it adds extra terminology and implementation specifics not present in the reference.",gpt-5.5,2,The question uses direct documentation vocabulary and asks for a short component list likely found in one relevant App Backend process section.,1.0,1.0,1.0,1.0,true,2,true,2,true,"d34120f8cce3c R25.6 P2.6 h2.0 or1.0 L1492 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Process","d3010c03cb6f3 R25.9 P2.7 h2.0 or1.5 L1509 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Process",1,BPMN process Altinn App Backend components | Altinn App Backend process BPMN | ProcessController BPMN Altinn | BPMN process engine Altinn app | components handle BPMN process,false,,0,6,4,1,8c1477bcab54;036b93352353;1f6c6e8975f7;57f6ad7996a2;ea06ff6403e9;1558ce11b0c8,8c1477bcab54;036b93352353;ea06ff6403e9;1558ce11b0c8,036b93352353,104906,4491,312,4803,0,2,0,tool_calls,false,false,3," The components that handle the BPMN process in the Altinn App Backend include:

- **Process API**: Exposes functionality to clients to control the process [1][2].
- **Process service** (`ProcessAppSI`): Where the business logic for BPMN processing is located; it is responsible for verifying state and changes of state [1][2].
- **BPMN reader** (`BpmnReader`): Parses the BPMN process in apps [1][2].
- **App logic components** (`AppBase.cs` and `IAltinnApp`): App logic runs when the process changes state, allowing app developers to implement specific app logic [1][2].
- **Built-in process engine**: Handles typical processes for digital public services and uses the BPMN standard for defining the application process [3][4].

Note on terminology: Sources [1] and [2] break the handling down into specific implementation components (Process API, Process service, BPMN reader, and app logic hooks), while sources [3] and [4] refer more broadly to a ""built-in process engine."" The process engine appears to be the overarching capability, with the Process service (`ProcessAppSI`) being the place where the BPMN processing business logic resides.",
