run-id,timestamp,config-id,question-id,repeat,dataset,source,question-tags,status,clarification-rounds,terminal-clarification?,grounding-mode,answer-substring-hit?,answer-judge-verdict,answer-judge-score,answer-judge-rationale,answer-judge-model,task-difficulty,task-difficulty-rationale,recall-at-5,recall-at-10,recall-at-20,citation-recall,golden-in-search-pool?,golden-pool-rank,golden-in-display?,golden-display-rank,golden-read?,golden-features,pool-head,search-passes,issued-queries,insufficiency-fired?,refinement-corpus-grounded?,enrichment-hits,n-retrieved,n-cited,n-expected,retrieved-chunk-ids,cited-chunk-ids,expected-chunk-ids,elapsed-ms,prompt-tokens,completion-tokens,total-tokens,cached-tokens,llm-calls,reasoning-tokens,finish-reason,length-finish?,empty?,steps-executed,response,error
f6746640-4d5a-4ec6-bc00-5329b6439d0b,2026-06-15T04:44:16.094103Z,enriched-hq,wg-api-01-instances-query-params-en,0,public-docs,new,"compound,lookup,altinn-3-general,list",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"ded395f8d462f R23.2 P2.6 h2.0 or1.3 L5455 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Instances",,1,Storage instances endpoint query parameters | instances query parameters Storage API | GET instances query parameters Altinn Storage | search instances query parameters API,false,,66,4,1,1,9eac3d570118;427a8c903b69;ad587b74aab4;670b4668d9c0,9eac3d570118,9eac3d570118,318771,4699,217,4916,0,2,0,tool_calls,false,false,3," The Storage instances endpoint (`/storage/api/v1/instances`) supports the following query parameters [1]:

- **org** (string)
- **appid** (string)
- **process.currentTask** (string)
- **process.isComplete** (bool)
- **process.endEvent** (string) — deprecated
- **process.ended** (datetime)
- **instanceOwner.partyId** (int)
- **lastChanged** (datetime)
- **created** (datetime)
- **visibleAfter** (datetime)
- **dueBefore** (datetime)
- **excludeConfirmedBy** (string)
- **status.isArchived** (bool)
- **size** (int)
- **mainVersionInclude** (int)
- **mainVersionExclude** (int)
- **status.isSoftDeleted** (bool)
- **status.isHardDeleted** (bool)

For datetime parameters, you can use the operators `gt:`, `gte:`, `lt:`, `lte:`, and `eq:` (or leave it blank for equal). These can be combined to define a range [1].

There is a terminology ambiguity in the source: the parameter list uses the label **appid**, while the request examples use **appId** [1].

In addition, there is a header input parameter (not a URL query parameter) for filtering:
- **X-Ai-InstanceOwnerIdentifier** (string) [1]

Note that for application owners, either `org` or `appId` must be included in the request, and for end users `instanceOwner.partyId` is required [1].",
04835400-51b2-47cc-bb88-7ae0a65538ea,2026-06-15T04:44:45.776509Z,enriched-hq,wg-api-01-instances-query-params-en,2,public-docs,new,"compound,lookup,altinn-3-general,list",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"ded395f8d462f R23.2 P2.7 h2.0 or1.5 L5455 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Instances",,1,Storage instances endpoint query parameters | GET instances query parameters Storage API | instances search query parameters Altinn Storage | Storage API instances endpoint filter parameters | query parameters instances endpoint documentation,false,,58,3,2,1,9eac3d570118;427a8c903b69;670b4668d9c0,9eac3d570118;427a8c903b69,9eac3d570118,276146,4687,254,4941,0,2,0,tool_calls,false,false,3," The following query parameters are documented for the Storage instances endpoint [1]:

- **org** (string)
- **appid** (string)
- **process.currentTask** (string)
- **process.isComplete** (bool)
- **process.endEvent** (string) — deprecated
- **process.ended** (datetime)
- **instanceOwner.partyId** (int)
- **lastChanged** (datetime)
- **created** (datetime)
- **visibleAfter** (datetime)
- **dueBefore** (datetime)
- **excludeConfirmedBy** (string)
- **status.isArchived** (bool)
- **size** (int)
- **mainVersionInclude** (int)
- **mainVersionExclude** (int)
- **status.isSoftDeleted** (bool)
- **status.isHardDeleted** (bool)

There is a minor ambiguity in the source terminology for the application identifier: the bullet list labels the parameter **appid**, while the surrounding text and request examples use **appId** [1][2].

In addition to query parameters, the following header input parameter can be used to filter instances [1]:

- **X-Ai-InstanceOwnerIdentifier** (string)

For parameters that accept datetime values, you can use the operators `gt:`, `gte:`, `lt:`, `lte:`, and `eq:` [1].",
893205f6-d17f-4f48-94ad-5524385085b1,2026-06-15T04:45:15.049589Z,enriched-hq,wg-api-01-instances-query-params-en,1,public-docs,new,"compound,lookup,altinn-3-general,list",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"ded395f8d462f R23.2 P2.6 h2.0 or1.5 L5455 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Instances",,1,Storage instances endpoint query parameters | Altinn Storage API instances query parameters | GET instances query parameters Storage | instances endpoint filter query parameters | Storage instances search query parameters,false,,78,3,3,1,9eac3d570118;427a8c903b69;ad587b74aab4,9eac3d570118;427a8c903b69;ad587b74aab4,9eac3d570118,336548,4553,283,4836,0,2,0,tool_calls,false,false,3," According to [1] and [2], the Storage instances endpoint (`/storage/api/v1/instances`) supports the following query parameters:

- `org` (string) — required for application owners unless `appId` is used [1]
- `appid` (string) — required for application owners unless `org` is used; note that the documentation examples use the spelling `appId` [1][2]
- `process.currentTask` (string) [1][2]
- `process.isComplete` (bool) [1]
- `process.endEvent` (string) — deprecated, with no associated code [1]
- `process.ended` (datetime) [1]
- `instanceOwner.partyId` (int) — required when using the endpoint as an end user [1]
- `lastChanged` (datetime) [1]
- `created` (datetime) [1][2]
- `visibleAfter` (datetime) [1]
- `dueBefore` (datetime) [1]
- `excludeConfirmedBy` (string) [1]
- `status.isArchived` (bool) [1]
- `size` (int) [1]
- `mainVersionInclude` (int) [1]
- `mainVersionExclude` (int) [1]
- `status.isSoftDeleted` (bool) [1]
- `status.isHardDeleted` (bool) [1]

For parameters that take a datetime value, the operators `gt:`, `gte:`, `lt:`, `lte:`, and `eq:` can be used (or left blank for equal), and they can be combined on the same field to define a range [1].

In addition, [1] documents a header input parameter `X-Ai-InstanceOwnerIdentifier` (string) for filtering by person or organisation number. This is passed as an HTTP header, not as a query parameter.

Note that [3] describes a separate MessageBoxInstance search endpoint (`/sbl/instances/search`) with its own parameters; that endpoint is distinct from the Storage instances endpoint above.",
097f8c3c-84c9-45e8-8dfc-f4a83c72fca8,2026-06-15T04:09:06.691544Z,enriched-hq,wg-authz-08-systemuser-token-values-nb,2,public-docs,new,"compound,lookup,list,altinn-authorization",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,7,true,7,true,"d41f903b4aa3e R15.3 P3.6 h3.0 or1.6 L4600 3/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | System user","d71d6c7529780 R17.4 P3.6 h3.0 or1.3 L1008 5/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Systemuser ;; d59b5bb939bf6 R16.7 P3.6 h3.0 or1.5 L776 1/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Referenceimplementations ;; d516f1b421108 R15.9 P2.5 h2.0 or0.4 L1671 2/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Userscenarios ;; d95ce6e6957f9 R15.7 P2.4 h2.0 or0.8 L1635 1/? ty:content+hypothetical-questions b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Usetoken ;; d516f1b421108 R15.3 P3.7 h3.0 or1.4 L919 12/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.1,0.0] +q | Userscenarios ;; d41f903b4aa3e R15.3 P3.3 h3.0 or0.9 L481 1/? ty:hypothetical-questions+metadata+phrase b[0.0,0.0,0.0,0.1,0.1,0.0] +q | System user",1,systembrukertoken verdier tjenesteeier | systembruker token claims tjenesteeier | hvilke verdier i systembrukertoken er viktig for tjenesteeier | systembruker token systemuser altinn | systembrukertoken systembruker ID tjenesteeier,false,,45,4,1,1,63528e131071;a5b9967be9a7;943d6bd024e4;75a0997dd647,63528e131071,63528e131071,217884,5585,526,6111,0,2,0,tool_calls,false,false,3," Følgende verdier i et systembrukertoken er viktige for tjenesteeier [1]:

- **`authorization_details:systemuser_id`**: Dette er den unike ID-en for systembrukeren. Altinn trenger denne verdien for å kunne autorisere tilgang, og det er denne som har fått delegert tilganger [1].
- **`authorization_details:systemuser_org:id`**: Dette er organisasjonen som har opprettet systembrukeren [1].
- **`authorization_details:system_id`**: Dette er referansen til systemet som systembrukeren peker på [1].
- **`Consumer:id`**: Dette er organisasjonsnummeret til systemleverandøren, det vil si organisasjonen som har autentisert seg mot Maskinporten [1].",
e747ca60-3755-4858-a8d4-3a4c6a224a5d,2026-06-15T04:12:48.088250Z,enriched-hq,wg-authz-08-systemuser-token-values-nb,1,public-docs,new,"compound,lookup,list,altinn-authorization",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"d41f903b4aa3e R21.3 P3.5 h3.0 or1.2 L4600 3/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | System user",,1,hvilke verdier i et systembrukertoken er viktige for tjenesteeier i altinn | authorization details claim i assertion | systembrukertoken for riktig systembruker | systembruker som tjenesteeier | utstedelse av systembruser-token | kontrollere tilgang i eksterne tjenester,false,,91,4,1,1,63528e131071;a5b9967be9a7;140eada0d517;174fc774d7dd,63528e131071,63528e131071,514287,6926,575,7501,0,3,0,tool_calls,false,false,3," Ifølge dokumentasjonen er følgende verdier i et systembrukertoken viktige for tjenesteeier [1]:

* **`authorization_details:systemuser_id`**: Unik id for systembrukeren. Det er denne verdien som Altinn trenger for å kunne autorisere tilgang. Det er denne som har fått delegert tilganger.
* **`authorization_details:systemuser_org:id`**: Organisasjonen som har opprettet systembrukeren.
* **`authorization_details:system_id`**: Referanse til systemet som systembrukeren peker på.
* **`Consumer:id`**: Organisasjonsnr til systemleverandør (organisasjon som har autentisert seg mot Maskinporten).",
05f13664-c754-4637-9a01-8fde7b487c39,2026-06-15T04:12:55.857357Z,enriched-hq,wg-authz-08-systemuser-token-values-nb,0,public-docs,new,"compound,lookup,list,altinn-authorization",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"d41f903b4aa3e R21.3 P3.5 h3.0 or1.1 L4600 3/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | System user",,1,hvilke verdier i et systembrukertoken er viktige for tjenesteeier i altinn | authorization details claim i assertion | systembrukertoken for riktig systembruker | autorisasjonsbærer i form av systembrukertoken | kallene som gjøres med systembruker-token | systembrukertoken vekslet til altinn-token,false,,63,4,1,1,63528e131071;a5b9967be9a7;fcbd3e1be839;140eada0d517,63528e131071,63528e131071,569796,6878,630,7508,0,3,0,tool_calls,false,false,3," Ifølge [1] er følgende verdier i et systembrukertoken viktige for tjenesteeier:

* **`authorization_details:systemuser_id`** – Unik id for systembrukeren. Det er denne verdien som Altinn trenger for å kunne autorisere tilgang. Det er denne som har fått delegert tilganger. [1]
* **`authorization_details:systemuser_org:id`** – Organisasjonen som har opprettet systembrukeren. [1]
* **`authorization_details:system_id`** – Referanse til systemet som systembrukeren peker på. [1]
* **`Consumer:id`** – Organisasjonsnr til systemleverandør (organisasjon som har autentisert seg mot Maskinporten). [1]",
3799da95-f236-4e00-bb63-99d9f42f0f9c,2026-06-15T03:54:21.708488Z,enriched-hq,wg-studio-13-multipage-group,1,public-docs,new,"compound,extraction,altinn-studio",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"dfbf13fbb8400 R22.4 P2.7 h2.0 or1.7 L6545 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Multipage",,1,how to split a repeating group over multiple pages in altinn | repeating groups multipage true | edit parameter multipage true | fill out over multiple pages | displaying of groups over multiple pages | multiple pages within a group,false,,97,2,2,1,528fad885093;a9f4baff1f53,528fad885093;a9f4baff1f53,528fad885093,424309,5935,472,6407,0,3,0,tool_calls,false,false,3," To split the fill-out of a repeating group over multiple pages in an Altinn app, you need to make two changes to the group component configuration in your layout JSON:

1. **Prefix the child component IDs** in the `children` list with a page number followed by a colon (`:`). Start the count at `0`, so components on the first page are prefixed with `0:`, components on the second page with `1:`, and so on [1].
2. **Enable multi-page mode** by setting `""multiPage"": true` inside the `edit` parameter of the group [1][2].

For example, in a v4 app frontend, the configuration would look like this:

```json
{
  ""id"": ""Some-group-id"",
  ""type"": ""RepeatingGroup"",
  ""children"": [
    ""0:fnr"",
    ""1:fornavn"",
    ""1:mellomnavn"",
    ""1:etternavn""
  ],
  ""maxCount"": 10,
  ""dataModelBindings"": {
    ""group"": ""familie.barn""
  },
  ""edit"": {
    ""multiPage"": true,
    ""mode"": ""hideTable""
  }
}
```

Note that this functionality is currently only available for **repeating groups at the top level**; it is not supported for nested groups [1].",
e6f6094b-8d7b-485f-b49e-8d9b4bd92078,2026-06-15T03:55:15.591879Z,enriched-hq,wg-studio-13-multipage-group,0,public-docs,new,"compound,extraction,altinn-studio",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"dfbf13fbb8400 R22.6 P2.7 h2.0 or1.7 L6545 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Multipage",,1,split a repeating group over multiple pages in an altinn app | repeating groups multipage true | displaying of groups over multiple pages | multiple pages within a group | largegroup repeating group | group component split into 4 different sub-types,false,,75,1,1,1,528fad885093,528fad885093,528fad885093,508091,5837,334,6171,0,3,0,tool_calls,false,false,3," To split the fill-out of a repeating group over multiple pages in an Altinn app, you must prefix the components in the `children` list with a number indicating which ""page"" the component should be displayed on, followed by `:` [1]. The count starts on `0`, meaning components for the first page must be prefixed with `0:`, components for the second page with `1:`, and so on [1]. In addition, you must set `""multiPage"": true` in the `edit`-parameter [1].

Note that this functionality is as of today only available for repeating groups, and displaying of groups over multiple pages inside the editing area of the group is only supported for groups at the top level—it is not supported for nested groups [1].

The documentation also illustrates that you may combine this with a `mode` that hides the table when editing, such as `""mode"": ""hideTable""`, but this is an optional addition and not required to enable the multi-page navigation itself [1].",
14441650-65c2-4528-a253-e6442d66ec58,2026-06-15T03:55:48.338870Z,enriched-hq,wg-studio-13-multipage-group,2,public-docs,new,"compound,extraction,altinn-studio",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"dfbf13fbb8400 R22.4 P2.7 h2.0 or1.7 L6545 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Multipage",,1,split the fill-out of a repeating group over multiple pages in an altinn app | repeating groups multipage true | fill out over multiple pages | displaying of groups over multiple pages | multiple pages within a group | required fields inside multi-page repeating groups,false,,96,1,1,1,528fad885093,528fad885093,528fad885093,496189,5903,359,6262,0,3,0,tool_calls,false,false,3," To split the fill-out of a repeating group over multiple pages in an Altinn app, you must do the following:

1. **Prefix the component IDs** in the `children` list with the page number followed by a colon (`:`). The count starts at `0`, so components on the first page use `0:`, the second page use `1:`, and so on [1].
2. **Set `""multiPage"": true`** inside the `edit` parameter of the group component [1].

This functionality is only available for **repeating groups**, and is only supported for groups at the **top level**; it is **not supported for nested groups** [1].

The component `type` depends on your App Frontend version:
- In **v4 (App Frontend)**, use `""type"": ""RepeatingGroup""` [1].
- In **v3 (App Frontend)**, use `""type"": ""Group""` [1].

You may also combine this with a `mode` such as `""hideTable""` in the `edit` parameter to hide the table when editing [1].",
78be1764-9950-4b01-b1b5-1abdc46ed131,2026-06-15T04:35:28.693265Z,off,wg-corr-03-transmission-types,2,public-docs,new,"altinn-correspondence,compound,lookup,list",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"d405e5c9efcc6 R22.6 P2.6 h2.0 or1.7 L2869 1/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Dialogporten arbeidsflate",,4,Altinn 3 Correspondence API transmission type numeric values | create transmission Correspondence API transmission type | Correspondence API transmission type enum values | Altinn Correspondence transmission type values | Correspondence API create transmission request body transmission type | Correspondence API OpenAPI transmission type | Correspondence API create transmission transmissionType enum | Altinn Correspondence transmissionType values | Correspondence API POST transmission request body | Correspondence API swagger transmission type | Correspondence API OpenAPI spec transmission | Correspondence API swagger spec transmissionType | /api/correspondence/spec transmission | Altinn Correspondence API specification transmission type enum | Correspondence API reference transmission type values | Dialogporten transmission type enum values | Dialogporten transmission transmissionType | Correspondence spec openapi yaml transmission | Altinn Correspondence API model transmission type | transmissionType integer enum Altinn,false,false,0,4,2,1,605195d7cab8;bb2efc616706;db2dfe196222;9fc8a7bd7ec2,605195d7cab8;9fc8a7bd7ec2,9fc8a7bd7ec2,231942,32528,779,33307,0,5,0,tool_calls,false,false,3," When creating a transmission via the Altinn 3 Correspondence API, the valid transmission types and their numeric values are [2]:

| Type        | Value |
|-------------|:-----:|
| Information | 1     |
| Acceptance  | 2     |
| Rejection   | 3     |
| Request     | 4     |
| Alert       | 5     |
| Decision    | 6     |
| Submission  | 7     |
| Correction  | 8     |

These types correspond to the implemented transmission categories in the Dialogporten transmission entity [1].",
