run-id,timestamp,config-id,question-id,repeat,dataset,source,question-tags,status,clarification-rounds,terminal-clarification?,grounding-mode,answer-substring-hit?,answer-judge-verdict,answer-judge-score,answer-judge-rationale,answer-judge-model,task-difficulty,task-difficulty-rationale,recall-at-5,recall-at-10,recall-at-20,citation-recall,golden-in-search-pool?,golden-pool-rank,golden-in-display?,golden-display-rank,golden-read?,golden-features,pool-head,search-passes,issued-queries,insufficiency-fired?,refinement-corpus-grounded?,enrichment-hits,n-retrieved,n-cited,n-expected,retrieved-chunk-ids,cited-chunk-ids,expected-chunk-ids,elapsed-ms,prompt-tokens,completion-tokens,total-tokens,cached-tokens,llm-calls,reasoning-tokens,finish-reason,length-finish?,empty?,steps-executed,response,error
f130328e-7c7f-4668-a75c-9a4cbc0585bb,2026-06-15T02:21:22.409471Z,snippet-AB,ue-authz-04-opprette-tilgangsliste-medlemmer,0,public-docs,new,"altinn-authorization,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"d71a2362d8513 R22.9 P4.9 h4.0 or2.1 L567 3/? ty:content+hypothetical-questions+metadata+phrase b[0.0,0.0,0.0,0.5,0.2,0.0] +q | Manage accesslist api",,1,opprette ny tilgangsliste via api | legge til organisasjoner som medlemmer i tilgangsliste via api | administrere tilgangslister via api | legge til medlemmer i listen via api | tilgangsliste med utvalgte organisasjoner,false,,82,5,2,1,1a5230c44562;8aebe6275968;fe2315eff838;c95081d798ce;92ccd3cd8025,fe2315eff838;c95081d798ce,c95081d798ce,638672,6714,685,7399,0,3,0,tool_calls,false,false,3," For å opprette en ny tilgangsliste og legge til organisasjoner som medlemmer via API-et, gjør du følgende:

**1. Forutsetninger**
Klienten må være definert i Maskinporten med scopene `altinn:resourceregistry/accesslist.read`, `altinn:resourceregistry/accesslist.write` og `altinn:resourceregistry/resource.write` [1]. For å få tilgang til scopene i Samarbeidsportalen må det bestilles tilgang ved å ta kontakt per e-post på tjenesteeier@altinn.no [1].

**2. Opprette tilgangslisten**
Send en **PUT**-forespørsel til:
```
/access-lists/{owner}/{identifier}
```

Hvor `owner` er organisasjonskoden og `identifier` er en valgt ID for listen [2].

Eksempel på payload:
```json
{
  ""name"": ""Godkjente banker"",
  ""description"": ""Denne listen inneholder godkjente banker i henhold til regel 123""
}
```
[2]

**3. Legge til medlemmer**
Send en **POST**-forespørsel til:
```
/access-lists/{owner}/{identifier}/members
```

Medlemmet kan identifiseres med forskjellige ID-er, men bare én kan gis [2].

Eksempel på payload der organisasjonen identifiseres med organisasjonsnummer:
```json
{
  ""data"": [""urn:altinn:organization:identifier-no:123456789""]
}
```
[2]",
44cca25d-bf03-4610-b2ae-0b63118eae5f,2026-06-15T02:22:42.543507Z,snippet-AB,ue-authz-04-opprette-tilgangsliste-medlemmer,2,public-docs,new,"altinn-authorization,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"d71a2362d8513 R23.9 P4.9 h4.0 or2.0 L567 3/? ty:content+hypothetical-questions+metadata+phrase b[0.0,0.0,0.0,0.5,0.2,0.0] +q | Manage accesslist api",,1,opprette tilgangsliste og legge til organisasjoner som medlemmer via api | opprett ny tilgangsliste | legg til organisasjoner som medlemmer i listen din | administrere tilgangslister via api | legge til medlemmer i listen | tilgangsliste med utvalgte organisasjoner,false,,96,5,2,1,1a5230c44562;8aebe6275968;fe2315eff838;c95081d798ce;92ccd3cd8025,fe2315eff838;c95081d798ce,c95081d798ce,634051,6726,499,7225,0,3,0,tool_calls,false,false,3," For å opprette en ny tilgangsliste og legge til organisasjoner som medlemmer via API-et, gjør du følgende:

**1. Søk om nødvendige tilganger**
Klienten må være definert i Maskinporten med scopene `altinn:resourceregistry/accesslist.read`, `altinn:resourceregistry/accesslist.write` og `altinn:resourceregistry/resource.write` [1]. For å få tilgang til scopene i Samarbeidsportalen må det bestilles tilgang ved å ta kontakt per e-post på tjenesteeier@altinn.no [1].

**2. Opprett tilgangslisten**
Send en **PUT**-forespørsel til endepunktet:
`/access-lists/{owner}/{identifier}`

Her er `owner` organisasjonskoden og `identifier` er en valgt ID for listen [2].

Eksempel på payload:

```json
{
  ""name"": ""Godkjente banker"",
  ""description"": ""Denne listen inneholder godkjente banker i henhold til regel 123""
}
```

**3. Legg til organisasjoner som medlemmer**
Send en **POST**-forespørsel til:
`/access-lists/{owner}/{identifier}/members`

Medlemmet kan identifiseres med forskjellige ID-er, men bare én kan gis [2].

Eksempel på payload for å legge til en organisasjon:

```json
{
  ""data"": [""urn:altinn:organization:identifier-no:123456789""]
}
```",
57365a56-fe68-47b3-9ac6-c58352635e70,2026-06-15T02:23:04.730924Z,snippet-AB,ue-authz-04-opprette-tilgangsliste-medlemmer,1,public-docs,new,"altinn-authorization,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"d71a2362d8513 R23.9 P4.9 h4.0 or2.0 L567 3/? ty:content+hypothetical-questions+metadata+phrase b[0.0,0.0,0.0,0.5,0.2,0.0] +q | Manage accesslist api",,1,opprette ny tilgangsliste og legge til organisasjoner som medlemmer via api | opprett ny tilgangsliste | legg til organisasjoner som medlemmer i listen din | administrere tilgangslister via api | legge til medlemmer i listen | tilgangsliste med utvalgte organisasjoner,false,,97,5,3,1,c95081d798ce;8aebe6275968;92ccd3cd8025;8507ec7e9431;f5cb44b1f0fd,c95081d798ce;8507ec7e9431;f5cb44b1f0fd,c95081d798ce,729347,6871,647,7518,0,3,0,tool_calls,false,false,3," For å opprette en ny tilgangsliste og legge til organisasjoner som medlemmer via API-et gjør du følgende:

1. **Opprett listen** ved å sende en forespørsel til **PUT** `/access-lists/{owner}/{identifier}`, der `{owner}` er organisasjonskoden og `{identifier}` er en valgt ID for listen [1]. Payload-en skal blant annet inneholde `name` og `description`:
   ```json
   {
     ""name"": ""Godkjente banker"",
     ""description"": ""Denne listen inneholder godkjente banker i henhold til regel 123""
   }
   ```

2. **Legg til medlemmer** ved å poste til `/access-lists/{owner}/{identifier}/members` med et medlem om gangen [1]. Medlemmet kan identifiseres med forskjellige ID-er, men bare én kan gis [1]. Eksempel på payload:
   ```json
   {
     ""data"": [""urn:altinn:organization:identifier-no:123456789""]
   }
   ```

Kildene beskriver også en tilsvarende fremgangsmåte via brukergrensesnittet (GUI) [2][3], men fremgangsmåten over er den som dokumenteres for API-et [1].",
dc4df4b7-69c5-4753-b75e-23cbb83775d6,2026-06-15T01:51:39.889502Z,snippet-AB,ue-corr-03-system-til-system-nedlasting,0,public-docs,new,"altinn-correspondence,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"dd8ceec8ede98 R18.7 P2.6 h2.0 or1.5 L2876 1/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Systemprovider",,1,store mengder meldinger vedlegg API integrasjon | motta meldinger vedlegg sluttbrukersystem | innboks manuell behandling vs API | høyt volum meldinger Altinn integrasjon | download attachments API messages,false,,105,3,2,1,939545886fa9;5f3606528ac4;d86b0c860b67,939545886fa9;5f3606528ac4,939545886fa9,199512,5497,538,6035,0,2,0,tool_calls,false,false,3," Dere bør **integrere mot API**, ikke behandle meldingene manuelt i innboksen.

For virksomheter som håndterer større volum av meldinger eller meldinger med omfattende vedlegg, anbefales det å benytte system-til-system-integrasjon fremfor manuell oppfølging i Altinns brukergrensesnitt [1]. Innboksen i GUI er primært egnet for manuell behandling i mindre skala, mens effektiv håndtering av større mengder meldinger forutsetter integrasjon [1].

Ved å integrere sak-/arkivsystemet med Altinn via Dialogporten og tilhørende API-er kan virksomheten:

- automatisk oppdage og hente nye meldinger [1]
- laste ned meldinger og alle vedlegg maskinelt [1]
- journalføre og arkivere direkte i eget system [1]
- redusere manuelle operasjoner og risiko for feil [1]

Dette muliggjør en arbeidsflyt der saksbehandling skjer i eget fagsystem, med Altinn som transport- og distribusjonskanal [1]. I tillegg tillater API-ene integrasjon med andre systemer for mottak av meldinger, og gir mulighet for automatisert meldingshåndtering via integrerte systemer [2].",
9205877f-c416-455d-add6-f14f51141642,2026-06-15T01:59:41.979340Z,snippet-AB,ue-corr-03-system-til-system-nedlasting,2,public-docs,new,"altinn-correspondence,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"dd8ceec8ede98 R21.9 P3.7 h3.0 or1.8 L2876 1/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.1,0.0] +q | Systemprovider",,1,bør vi behandle meldinger med vedlegg manuelt i innboksen eller integrere mot api for store mengder | håndtering av større mengder meldinger | innsending av vedlegg med api-kall | manuell oppfølging i altinns brukergrensesnitt | integrere seg med altinns api | api-integrasjon for tjenesteeiere,false,,126,4,1,1,939545886fa9;f52437f5574e;80838dddd2b5;b5e3a74339c0,939545886fa9,939545886fa9,603457,6939,784,7723,0,3,0,tool_calls,false,false,3," For virksomheter som håndterer større volum av meldinger eller meldinger med omfattende vedlegg, anbefales det å benytte **system-til-system-integrasjon** fremfor manuell oppfølging i Altinns brukergrensesnitt [1]. Innboksen i GUI er primært egnet for manuell behandling i mindre skala, mens effektiv håndtering av større mengder meldinger forutsetter integrasjon [1].

Ved å integrere sak-/arkivsystemet med Altinn via Dialogporten og tilhørende API-er kan virksomheten:

- automatisk oppdage og hente nye meldinger
- laste ned meldinger og alle vedlegg maskinelt
- journalføre og arkivere direkte i eget system
- redusere manuelle operasjoner og risiko for feil [1]

Dette integrasjonsmønsteret er etablert praksis, og benyttes av virksomheter med behov for skalerbar, effektiv og robust meldingshåndtering [1].",
88c0f38d-44ec-4c04-878d-6e1ae48f8105,2026-06-15T02:00:10.064592Z,snippet-AB,ue-corr-03-system-til-system-nedlasting,1,public-docs,new,"altinn-correspondence,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,1,true,1,true,"dd8ceec8ede98 R21.8 P3.7 h3.0 or2.2 L2876 1/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Systemprovider",,1,behandle meldinger med vedlegg manuelt i innboksen eller integrere mot api ved store mengder | laste ned meldinger og alle vedlegg maskinelt | manuell oppfølging i altinns brukergrensesnitt | håndtering av større mengder meldinger | automatisk oppdage og hente nye meldinger | tilgjengeliggjøring av melding i altinn 3 melding api,false,,116,4,2,1,939545886fa9;5f3606528ac4;ddb524214c36;3260b6da8872,939545886fa9;5f3606528ac4,939545886fa9,656262,6781,856,7637,0,3,0,tool_calls,false,false,3," Dere bør **integrere mot API** (system-til-system-integrasjon).

For virksomheter som håndterer større volum av meldinger eller meldinger med omfattende vedlegg, anbefales det å benytte system-til-system-integrasjon fremfor manuell oppfølging i Altinns brukergrensesnitt [1]. Innboksen i GUI er primært egnet for manuell behandling i mindre skala, mens effektiv håndtering av større mengder meldinger forutsetter integrasjon [1].

Ved å integrere sak-/arkivsystemet med Altinn via Dialogporten og tilhørende API-er kan virksomheten:

* automatisk oppdage og hente nye meldinger
* laste ned meldinger og alle vedlegg maskinelt
* journalføre og arkivere direkte i eget system
* redusere manuelle operasjoner og risiko for feil [1]

Dette muliggjør en arbeidsflyt der saksbehandling skjer i eget fagsystem, med Altinn som transport- og distribusjonskanal [1]. Altinn Melding tilbyr API-er som tillater integrasjon med andre systemer for sending og mottak av meldinger, samt mulighet for automatisert meldingshåndtering via integrerte systemer [2].",
2a7fa50b-90b5-4837-a126-57b064f0b3f2,2026-06-15T01:38:35.785193Z,snippet-AB+read-hi,ue-events-02-publisere-cloudevents,1,public-docs,new,"altinn-events,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,3,true,3,true,"d771a2f1ad237 R20.3 P3.7 h3.0 or1.8 L1776 1/? ty:content+hypothetical-questions+phrase b[0.1,0.0,0.0,0.4,0.1,0.0] +q | Publish events","d93530cba0f9e R21.9 P2.7 h2.0 or1.2 L749 0/? ty:content+phrase b[0.1,0.0,0.0,0.4,0.1,0.0] | Publish app events ;; d771a2f1ad237 R20.8 P3.6 h3.0 or0.7 L515 0/? ty:content+hypothetical-questions+phrase b[0.1,0.0,0.0,0.4,0.1,0.0] +q | Publish events",1,publisere egendefinert hendelse Altinn Events | publish custom event Altinn Events | Maskinporten scope Altinn Events publish | Altinn Events hendelse format schema | POST /events/api/v1/events publisere,false,,60,5,4,1,5ea03a5c4cbb;c07bb4053f5d;dc1ebd66d4e7;88dee7203f14;b343326766cf,5ea03a5c4cbb;dc1ebd66d4e7;88dee7203f14;b343326766cf,5ea03a5c4cbb,416747,5045,826,5871,0,2,0,tool_calls,false,false,3," For å publisere en egendefinert (generisk) hendelse som **ikke** er en Altinn Studio App-hendelse, sender du en POST-forespørsel til `/events`-endepunktet [1][4]. (Publisering av Altinn App-hendelser håndteres av kjernelogikken i applikasjonen og er kun relevant for utviklere av applikasjonsmalen [2].)

**Maskinporten-scope**
Du må benytte Maskinporten-scopet **`altinn:events.publish`** [1].

**Format og innholdstype**
Forespørselskroppen skal inneholde en Cloud Event v1.0.2 serialisert som en JSON-streng, med innholdstypen **`application/cloudevents+json`** [1][3].

**Påkrevde og anbefalte egenskaper**
I tillegg til standard Cloud Event-felter som `id`, `source`, `specversion`, `type`, `subject` og `time` [3], må du inkludere følgende Altinn-spesifikke utvidelsesattributter:
- **`resource`**: Ressurs-ID med formatet **`urn:altinn:resource:[prop1].[prop2]`**. Ressursen må være registrert i Altinn Ressursregister *før* hendelsen publiseres [1][3].
- **`resourceinstance`**: ID for ressursinstansen [1][3].

Det anbefales også å inkludere **alternativ identifikator for subject** (alternative subject) hvis `subject`-egenskapen er en intern ID som er ukjent for hendelsesabonnentene. For Altinn-relaterte hendelser følger dette formatet **`/person/16069412345`** eller **`/organisation/987564321`** [1].

**Autentisering**
API-et krever et gyldig Altinn-token. Kaller du API-et fra et eksternt system, må du generere et Maskinporten-token og veksle dette inn i et Altinn-token før kall mot Events API [4].",
c111cfbd-5a24-45d2-884b-dbd9407ed904,2026-06-15T01:42:04.650395Z,snippet-AB+read-hi,ue-events-02-publisere-cloudevents,0,public-docs,new,"altinn-events,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,2,true,2,true,"d771a2f1ad237 R20.5 P3.7 h3.0 or1.2 L1776 1/? ty:content+hypothetical-questions+phrase b[0.1,0.0,0.0,0.4,0.1,0.0] +q | Publish events","d93530cba0f9e R21.3 P3.7 h3.0 or1.3 L749 0/? ty:content+hypothetical-questions+phrase b[0.1,0.0,0.0,0.4,0.1,0.0] +q | Publish app events",1,hvordan publisere egendefinert hendelse til altinn events og påkrevd maskinporten-scope og format | hvordan publisere hendelser | maskinporten-scopet altinn events publish | altinn events cloud events format | api-kravene for publisering av hendelser | påkrevd scope satt i maskinporten,false,,105,4,3,1,c07bb4053f5d;5ea03a5c4cbb;77ecf3da0532;665ff20e62b8,5ea03a5c4cbb;77ecf3da0532;665ff20e62b8,5ea03a5c4cbb,625613,6811,722,7533,0,3,0,tool_calls,false,false,3," For å publisere en hendelse som ikke er en Altinn Studio App-hendelse – i kildene omtalt som en **generisk hendelse** – bruker du endepunktet:

**`POST /events`** [1]

### Maskinporten-scope og autentisering
API-et krever autentisering, og du må benytte Maskinporten-scopet:

**`altinn:events.publish`** [1]

I tillegg skal det inkluderes et Altinn-token i `Authorization`-headeren (som `Bearer {token}`) [1][3].

### Format
Innholdstypen skal være:

**`application/cloudevents+json`** [1]

Forespørselskroppen skal inneholde en Cloud Event serialisert som en JSON-streng [1].

### Innhold i forespørselskroppen
Kilden spesifiserer blant annet følgende egenskaper:
- **`id`** – ID for Cloud Event (string) [1]
- **`type`** – hendelsestype for Cloud Event (string) [1]
- **`source`** – hendelseskilde for Cloud Event (URI) [1]
- **`resource`** – ID for ressursen som Cloud Event relaterer til (string). Ressursen må være registrert i Altinn Ressursregister *før* hendelsen publiseres. Formatet er: `urn:altinn:resource:[prop1].[prop2]` [1]
- **`resourceinstance`** – ID for ressursinstansen (string) [1]
- **`alternativesubject`** – alternativ identifikator for subject (string). Denne anbefales inkludert hvis `subject`-egenskapen er en intern ID som er ukjent for hendelsesabonnentene [1]

I tillegg til egenskapene over, aksepteres alle egenskaper definert i Cloud Event v1.0.2-spesifikasjonen, samt **egendefinerte utvidelsesattributter** [1].

### Respons
En vellykket registrering skal resultere i en **`200 OK`**-respons uten data [2].",
1f24b0c2-ee72-4ec4-95b3-8e31d97c37f2,2026-06-15T01:45:12.399724Z,snippet-AB+read-hi,ue-events-02-publisere-cloudevents,2,public-docs,new,"altinn-events,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,1.0,true,4,true,4,true,"d771a2f1ad237 R19.9 P2.5 h2.0 or1.1 L1776 1/? ty:content+hypothetical-questions b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Publish events","d93530cba0f9e R21.5 P3.7 h3.0 or1.5 L749 0/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Publish app events ;; d771a2f1ad237 R21.1 P3.7 h3.0 or1.8 L515 0/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Publish events ;; d07c5300e222a R20.7 P2.2 h2.0 or0.2 L400 1/? ty:hypothetical-questions+metadata b[0.0,0.0,0.0,0.1,0.2,0.0] +q | Detecting changes",1,hvordan publisere egendefinert hendelse til altinn events og hvilket maskinporten-scope og format trengs | hvordan publisere egendefinerte hendelser til altinn events | hvordan publisere egendefinerte events i altinn events | maskinportenscope for publisering av egendefinerte hendelser | altinn events cloud events format for egendefinerte hendelser | format på subject-strengen for egendefinerte hendelser i altinn events,false,,100,5,3,1,5ea03a5c4cbb;c07bb4053f5d;43f61fd7e6cd;eab508bca469;dc1ebd66d4e7,5ea03a5c4cbb;eab508bca469;dc1ebd66d4e7,5ea03a5c4cbb,813361,6919,692,7611,0,3,0,tool_calls,false,false,3," Hvis du ønsker å publisere en egendefinert hendelse, er det viktig å skille mellom to ulike scenarioer i kildene, ettersom «egendefinert hendelse» kan tolkes på ulike måter:

**1. Generisk hendelse (ikke Altinn Studio App-hendelse)** – publiseres via `POST /events`.
*   Dette API-et krever autentisering og Maskinporten-scopet **`altinn:events.publish`** [1].
*   Innholdstypen er **`application/cloudevents+json`** [1].
*   Request body skal inneholde en Cloud Event serialisert som en JSON-streng [1].
*   Du må blant annet angi `id`, `type`, `source` og `resource` (format: `urn:altinn:resource:[prop1].[prop2]`). Ressursen må være registrert i Altinn Ressursregister _før_ hendelsen publiseres [1].
*   I tillegg til standard Cloud Event v1.0.2-egenskaper, aksepteres **egendefinerte utvidelsesattributter** [1].

**2. Egendefinert hendelse i en Altinn App** – håndteres normalt av appens kjerneapplikasjonslogikk og publiseres via `POST /app`.
*   Dette API-et krever autentisering og et **Platform Access Token** i headeren, ikke et Maskinporten-scope [2].
*   Innholdstypen er **`application/json`** [2].
*   Request body skal inneholde en Cloud Event formatert som en **`AppCloudEventRequestModel`** og serialisert som en JSON-streng. ID og tid settes automatisk av Events [2].
*   Egenskaper som kreves/aksepteres inkluderer `type`, `source`, `subject` (format: `/party/{partyId}`), `specversion` og `alternativesubject` [2].
*   Hvis du er en Altinn App-utvikler, vises det til Altinn Apps-dokumentasjonen for hvordan du aktiverer og definerer egendefinerte hendelser i appen [3].

**Ambiguitet:** Siden du spør om både «egendefinert hendelse» og Maskinporten-scope, er det en viss uoverensstemmelse i kildene. Begrepet «egendefinerte hendelser» brukes om hendelser i Altinn Apps [3], men det er endepunktet for **generiske hendelser** (`POST /events`) som krever Maskinporten-scopet `altinn:events.publish` [1]. Altinn App-endepunktet (`POST /app`) benytter i stedet et Platform Access Token [2].",
f460b7f5-8aa0-4546-b8cc-49a389641989,2026-06-15T01:47:51.555590Z,snippet-AB,ue-broker-02-slette-tid-tilgjengelig,1,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,,,,,,,1.0,1.0,1.0,0.0,true,1,true,1,true,"d479e27df943e R22.1 P2.6 h2.0 or1.2 L2440 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | What do you get",,3,how long files remain available in altinn broker and how to control deletion after confirmation | automatic deletion after recipients confirm successful downloads | automatic deletion of data after recipients confirm | instance marked as ready for deletion after recipients confirm successful downloads | recipients receive notifications about available files and automatic deletion | configures your resource in altinn broker for automatic deletion | ResourceExt PurgeFileTransferAfterAllRecipientsConfirmed configuration | Altinn Broker resource API configure PurgeFileTransferGracePeriod | broker api resource configuration file transfer settings | ResourceExt model PurgeFileTransferAfterAllRecipientsConfirmed FileTransferTimeToLive | Altinn Broker resource configuration settings properties | broker ResourceExt.cs purge grace period time to live,false,false,172,6,0,1,0127378417da;61b6c4c43cf6;3b433ef02414;14d38d41ea63;bc169ad3ed4b;cdd0fa0520d6,,0127378417da,972520,52413,1473,53886,0,8,0,stop,false,false,3," Based on the Altinn Broker documentation, here is how file availability and deletion after recipient confirmation work:

## How long a file stays available for download

The sender determines how long a file remains available via the **`FileTransferTimeToLive`** setting on the Broker resource:

- **Default:** 30 days
- **Maximum:** 1 year

After this period expires, the file becomes inaccessible regardless of download status.

## Controlling deletion after all recipients confirm

You control this through two settings configured on your Broker resource:

1. **`PurgeFileTransferAfterAllRecipientsConfirmed`** — Set to `true` if you want the file to be deleted once all recipients have confirmed receipt.
2. **`PurgeFileTransferGracePeriod`** — If the above is `true`, this specifies how long the file remains available for download **after** all recipients have confirmed. 
   - **Default:** 2 hours
   - **Maximum:** 24 hours
   - Must be specified as an **ISO 8601 Duration** (e.g., `""PT24H""`)

## How to configure these settings

These values are set on your resource using the Broker API:

```
PUT broker/api/v1/resource{resourceId}
```

The request body is an instance of `ResourceExt` serialized as JSON, where you include the relevant fields.

## Example configuration values

From the transition documentation, typical values are:

| Setting | Example Value |
|---------|---------------|
| `FileTransferTimeToLive` | `""30D""` (30 days) |
| `PurgeFileTransferAfterAllRecipientsConfirmed` | `true` |
| `PurgeFileTransferGracePeriod` | `""PT24H""` (24 hours) |

Once all recipients confirm the download and the grace period has passed, the file will be automatically purged (if configured to do so). If not all recipients confirm, the file remains available until the `FileTransferTimeToLive` expires.",
