run-id,timestamp,config-id,question-id,repeat,dataset,source,question-tags,status,clarification-rounds,terminal-clarification?,grounding-mode,answer-substring-hit?,answer-judge-verdict,answer-judge-score,answer-judge-rationale,answer-judge-model,task-difficulty,task-difficulty-rationale,recall-at-5,recall-at-10,recall-at-20,citation-recall,golden-in-search-pool?,golden-pool-rank,golden-in-display?,golden-display-rank,golden-read?,golden-features,pool-head,search-passes,issued-queries,insufficiency-fired?,refinement-corpus-grounded?,enrichment-hits,n-retrieved,n-cited,n-expected,retrieved-chunk-ids,cited-chunk-ids,expected-chunk-ids,elapsed-ms,prompt-tokens,completion-tokens,total-tokens,cached-tokens,llm-calls,reasoning-tokens,finish-reason,length-finish?,empty?,steps-executed,response,error
d98e596e-1a1c-4f42-973c-6661fef51a62,2026-06-14T19:12:05.017366Z,kimi-deployed,wg-security-01-information-security,0,public-docs,new,"compound,lookup,altinn-3-general,list",complete,0,false,chunks+answer,true,correct,0.98,"The candidate states all three required components—confidentiality, integrity, and availability—with the same explanations as the reference and no substantive contradictions.",gpt-5.5,2,The question uses direct terminology from the relevant documentation and asks for a short explicit list likely found in a single chunk.,1.0,1.0,1.0,1.0,true,1,true,1,true,"d7108d23413d7 R23.0 P2.7 h2.0 or1.6 L3477 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | About security in altinn",,1,GDPR Article 32 Digdir information security | Digdir GDPR artikkel 32 sikkerhet personopplysninger | Digdir personopplysninger informasjonssikkerhet GDPR 32 | what does information security comprise GDPR Article 32 Digdir,false,,0,1,1,1,07f1eb6a3f5b,07f1eb6a3f5b,07f1eb6a3f5b,170466,5073,653,5726,0,2,0,tool_calls,false,false,3," According to Digdir's obligations under the Personal Data Act § 1, cf. GDPR Article 32, information security includes [1]:

- Ensuring confidentiality; protection against unauthorized access to the information.
- Ensuring integrity; protection against accidental alteration of the information.
- Ensuring availability; making sure that adequate and relevant information is accessible.",
bd3c91b0-309a-4b1d-8593-4232e4d47da6,2026-06-14T19:12:29.437140Z,kimi-deployed,wg-security-01-information-security,1,public-docs,new,"compound,lookup,altinn-3-general,list",complete,0,false,chunks+answer,true,correct,1.0,"The candidate states all three required components—confidentiality, integrity, and availability—with the same explanations as the reference and no contradiction.",gpt-5.5,2,The question uses direct document vocabulary and asks for a short explicit list likely found in a single relevant chunk.,1.0,1.0,1.0,1.0,true,2,true,2,true,"d7108d23413d7 R21.8 P2.7 h2.0 or1.3 L3477 0/? ty:content+phrase b[0.1,0.0,0.0,0.4,0.1,0.0] | About security in altinn","d63e81e20b90b R23.6 P2.5 h2.0 or1.1 L5315 9/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Privacy assessments",1,Digdir GDPR Article 32 information security obligations | Digdir personopplysninger sikkerhet GDPR artikkel 32 | Altinn information security GDPR Article 32 Digdir | Digdir behandlingsansvarlig sikkerhetskrav GDPR 32,false,,0,1,1,1,07f1eb6a3f5b,07f1eb6a3f5b,07f1eb6a3f5b,185152,4826,366,5192,0,2,0,tool_calls,false,false,3," According to Digdir's obligations pursuant to GDPR Article 32, information security includes [1]:

- Ensuring confidentiality; protection against unauthorized access to the information.
- Ensuring integrity; protection against accidental alteration of the information.
- Ensuring availability; making sure that adequate and relevant information is accessible.",
1d86620e-d1ba-456a-92ab-1e2bca645b78,2026-06-14T19:13:16.951618Z,kimi-deployed,wg-security-01-information-security,2,public-docs,new,"compound,lookup,altinn-3-general,list",complete,0,false,chunks+answer,true,correct,1.0,"The candidate accurately lists the three required components—confidentiality, integrity, and availability—with the same explanations as the reference and no contradictions.",gpt-5.5,2,"The question asks for a short explicit list using the same terminology as the documentation, likely found in a single relevant chunk.",1.0,1.0,1.0,1.0,true,2,true,2,true,"d7108d23413d7 R18.9 P2.7 h2.0 or1.7 L3477 0/? ty:content+phrase b[0.1,0.0,0.0,0.4,0.1,0.0] | About security in altinn","d63e81e20b90b R20.0 P2.6 h2.0 or1.3 L5315 9/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Privacy assessments",1,Digdir GDPR Article 32 informasjonssikkerhet | Digdir GDPR artikkel 32 informasjonssikkerhet | Altinn GDPR 32 sikkerhet | Digdir personopplysningsforordningen artikkel 32 | information security GDPR Article 32 Digdir,false,,0,2,2,1,07f1eb6a3f5b;ccf66d4d64c5,07f1eb6a3f5b;ccf66d4d64c5,07f1eb6a3f5b,205231,5019,579,5598,0,2,0,tool_calls,false,false,3," According to Digdir's obligations under GDPR Article 32, information security comprises:

- Ensuring confidentiality; protection against unauthorized access to the information [1]
- Ensuring integrity; protection against accidental alteration of the information [1]
- Ensuring availability; making sure that adequate and relevant information is accessible [1]

Source [2] restates these same three components in Norwegian as *konfidensialitet*, *integritet*, and *tilgjengelighet* [2].",
f04b10ef-8c08-4fe8-9121-6a65e2e1e540,2026-06-14T19:04:34.654636Z,kimi-deployed,wg-events-02-query-params-org,1,public-docs,new,"compound,lookup,list,altinn-events",complete,0,false,chunks+answer,true,correct,0.9,"The candidate includes all query parameter purposes and key constraints from the reference, including chronological retrieval after an event ID and default size 50, with no contradiction.",gpt-5.5,2,The question uses the exact endpoint and asks for a short explicit list likely found in a single API reference chunk.,1.0,1.0,1.0,1.0,true,1,true,1,true,"df3874b9374bc R24.5 P2.9 h2.0 or1.5 L3298 1/? ty:content+phrase b[0.1,0.0,0.0,0.4,0.2,0.0] | Query app events org",,1,GET /app/{org}/{app} events query parameters | Altinn Events app endpoint query parameters | Events API retrieve app events query parameters | Altinn Events swagger app events query params,false,,0,1,1,1,56f8df5b354d,56f8df5b354d,56f8df5b354d,424634,4616,372,4988,0,2,0,tool_calls,false,false,3," Based on the provided context [1], the `GET /app/{org}/{app}` endpoint accepts query parameters corresponding to the following filters:

*   **`after`** — ID of the event last retrieved, type: `string`. The result set will include events registered after the provided event ID in chronological order [1]. The name is confirmed by the `Next` header example (`after=fc12dc69-...`) and by the error message referencing the `'After'` parameter [1].
*   **`from`** — the lower limit for when the cloud event was registered in UTC, type: `string(date-time)`. Accepted format is `2023-02-16T18:00Z` [1]. The name is confirmed by the error message referencing the `'From'` parameter [1].
*   **`to`** — the upper limit for when the cloud event was registered in UTC, type: `string(date-time)`. Accepted format is `2023-02-16T18:00Z` [1].
*   A parameter filtering on **the party ID representing the subject of the cloud event** [1]. The exact query parameter name is not explicitly stated in the provided context.
*   A parameter filtering on **the organisation number representing the unit in the cloud event's alternative subject** [1]. The exact query parameter name is not explicitly stated in the provided context.
*   A parameter filtering on **the person number representing the person in the cloud event's alternative subject** [1]. The exact query parameter name is not explicitly stated in the provided context.
*   A parameter for **the event types to include**, type: `array[string]` [1]. The exact query parameter name is not explicitly stated in the provided context.
*   **`size`** — size of the result set, type: `string`. Default size is set to 50 events [1]. This name appears in the request example as `size=2` [1].

The response includes a `Next` header that can be used to retrieve a new set of events following the final event in the result set [1].",
fd8815b0-768b-4ff6-8c69-b927ab401e95,2026-06-14T19:05:31.078695Z,kimi-deployed,wg-events-02-query-params-org,0,public-docs,new,"compound,lookup,list,altinn-events",complete,0,false,chunks+answer,true,correct,0.85,"The candidate lists all query-parameter purposes from the reference and includes the key behavior/defaults, though it adds an unsupported caveat about some parameter names being ambiguous.",gpt-5.5,2,This is an easy endpoint-specific lookup with direct vocabulary and a short parameter list likely found in one API documentation chunk.,1.0,1.0,1.0,1.0,true,6,true,6,true,"df3874b9374bc R23.3 P1.7 h1.0 or1.0 L3298 1/? ty:content b[0.1,0.0,0.0,0.4,0.2,0.0] | Query app events org","def28a8b441dc R23.9 P1.6 h1.0 or0.7 L3398 1/? ty:content b[0.1,0.0,0.0,0.4,0.1,0.0] | Query events ;; d1c1c23ebf524 R23.9 P2.7 h2.0 or0.7 L708 0/? ty:content+phrase b[0.1,0.0,0.0,0.4,0.1,0.0] | Query app events enduser ;; df3874b9374bc R23.7 P2.7 h2.0 or0.3 L703 0/? ty:content+phrase b[0.1,0.0,0.0,0.4,0.2,0.0] | Query app events org ;; d1c1c23ebf524 R23.6 P1.6 h1.0 or0.7 L2962 1/? ty:content b[0.1,0.0,0.0,0.4,0.1,0.0] | Query app events enduser ;; d88a046dc8cb8 R23.5 P3.7 h3.0 or0.9 L919 6/? ty:content+metadata+phrase b[0.0,0.0,0.0,0.5,0.1,0.0] | Events",1,Altinn Events GET /app/{org}/{app} endpoint query parameters | Events API GET app events query parameters org app | Altinn Events /app/{org}/{app} query parameters documentation | retrieve app events query parameters Altinn Events,false,,0,2,2,1,56f8df5b354d;5fe30dedc7a4,56f8df5b354d;5fe30dedc7a4,56f8df5b354d,498137,4676,342,5018,0,2,0,tool_calls,false,false,3," Based on the provided sources, the GET `/app/{org}/{app}` endpoint accepts the following query parameters. The sources explicitly confirm the names of some parameters through examples and error messages, while others are only described by their purpose without an explicit parameter key being stated.

**Parameters with unambiguous names in the source:**

*   **`after`** — the ID of the event last retrieved. The result set will include events registered after this ID in chronological order [1][2]. This name is visible in the `Next` header example (`?after=fc12dc69...`) [1][2].
*   **`from`** — the lower limit for when the cloud event was registered in UTC, using the format `2023-02-16T18:00Z` [1][2]. This name appears in the example request (`?from=2023-02-16T18:00Z`) and is explicitly referenced in the error detail: *""The 'From' or 'After' parameter must be defined""* [1][2].
*   **`size`** — the size of the result set. The default size is 50 events [1][2]. This name appears in the example request (`?size=2`) [1][2].

**Parameters described in the source without an explicit query parameter name being provided:**

The documentation lists the following filters, but does not state the exact query parameter keys to use:

*   **An upper limit for when the cloud event was registered in UTC** (type: string(date-time), accepted format `2023-02-16T18:00Z`) [1][2].
*   **A party ID** representing the subject of the cloud event [1][2].
*   **An organisation number** representing the unit in the cloud event's alternative subject [1][2].
*   **A person number** representing the person in the cloud event's alternative subject [1][2].
*   **Event types to include** (type: array[string]) [1][2].

Because the provided text only describes these items by their semantic meaning and does not give their literal query string names, the exact parameter keys for this second group remain ambiguous in the source.",
0aa50b26-3461-4548-831a-6158a6aaaccf,2026-06-14T19:12:05.493275Z,kimi-deployed,wg-events-02-query-params-org,2,public-docs,new,"compound,lookup,list,altinn-events",complete,0,false,chunks+answer,true,correct,0.9,"The candidate establishes all query-parameter concepts from the reference, including event ID pagination, from/to time limits, party/organisation/person filters, event types, and size default, with no substantive contradiction.",gpt-5.5,2,"This is an easy lookup of a short parameter list for a specific endpoint using direct documentation vocabulary, likely found in one API reference chunk.",1.0,1.0,1.0,1.0,true,3,true,3,true,"df3874b9374bc R21.6 P2.8 h2.0 or1.2 L3298 1/? ty:content+phrase b[0.1,0.0,0.0,0.4,0.2,0.0] | Query app events org","ded395f8d462f R22.7 P1.5 h1.0 or1.0 L5455 0/? ty:content b[0.0,0.0,0.0,0.4,0.0,0.0] | Instances ;; d1c1c23ebf524 R22.7 P1.6 h1.0 or0.4 L2962 1/? ty:content b[0.1,0.0,0.0,0.4,0.1,0.0] | Query app events enduser",1,query parameters accepted by altinn events get app org app endpoint | get app org app query parameters | developer guide on how to query app events | party from to query parameters | altinn events api query parameters | altinn app events query parameters,false,,0,2,2,1,56f8df5b354d;5fe30dedc7a4,56f8df5b354d;5fe30dedc7a4,56f8df5b354d,862259,5817,420,6237,0,3,0,tool_calls,false,false,3," The GET /app/{org}/{app} endpoint accepts the following query parameters:

The sources explicitly evidence these query parameter names through code examples and error details:

- **`after`** — ID of the event last retrieved. The result set includes events registered after the provided event ID in chronological order [1][2]. The name `after` appears in the `Next` pagination header (`?after=fc12dc69-...`) and in the 400 Bad Request error detail, which states that *""The 'From' or 'After' parameter must be defined""* [1][2].
- **`from`** — the lower limit for when the cloud event was registered in UTC. Accepted format is `2023-02-16T18:00Z` [1][2]. The name `from` appears in the provided `curl` example (`?from=2023-02-16T18:00Z`) and in the error detail [1][2].
- **`size`** — size of the result set. Default size is set to 50 events [1][2]. The name `size` appears in the provided `curl` example and in the `Next` header (`&size=2`) [1][2].

The documentation bullet lists also describe the following additional filters, but **their exact query parameter keys are not explicitly stated** in the provided text:

- the upper limit for when the cloud event was registered in UTC, type: string(date-time). Accepted format is `2023-02-16T18:00Z` [1][2]
- the party ID representing the subject of the cloud event [1][2]
- the organisation number representing the unit in the cloud event's alternative subject [1][2]
- the person number representing the person in the cloud event's alternative subject [1][2]
- the event types to include, type: array[string] [1][2]

Because the sources describe these five items only by function and data type without displaying the corresponding query keys, there is ambiguity regarding their exact parameter names.",
63425033-2b70-425b-a55a-7b23df12b4d0,2026-06-14T18:14:05.365278Z,kimi-deployed,wg-studio-02-sideinnstillinger,0,public-docs,new,"compound,lookup,altinn-studio,list",complete,0,false,chunks+answer,true,partial,0.7,"Svareren dekker alle innstillingene i referansen, men legger til `taskNavigation` som en pages-innstilling og flere detaljer som ikke støttes av referansen.",gpt-5.5,2,Spørsmålet bruker dokumentasjonens egne termer og ber om en eksplisitt liste som sannsynligvis finnes samlet i én relevant Settings.json-seksjon.,1.0,1.0,1.0,1.0,true,1,true,1,true,"d20cbf3c2523d R21.5 P2.6 h2.0 or0.9 L8265 1/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Pages",,1,pages Settings.json Altinn app innstillinger | Settings.json pages objekt konfigurasjon | pages settings Altinn 3 documentation,false,,0,3,3,1,d2209cafc7cc;7273bb362791;4b58ea73f594,d2209cafc7cc;7273bb362791;4b58ea73f594,d2209cafc7cc,304373,4935,470,5405,0,2,0,tool_calls,false,false,3," I `pages`-objektet i `Settings.json` kan du konfigurere følgende egenskaper for sidene i en Altinn-app:

**Generelle innstillinger** (oppført i tabellen over tilgjengelige innstillinger [1]):
* `hideCloseButton` (Boolean) – om tilbake til innboks-knappen øverst i venstre hjørne skal skjules [1].
* `showLanguageSelector` (Boolean) – om språkvelgeren skal vises [1].
* `showExpandWidthButton` (Boolean) – om utvid-bredde-knappen skal vises [1].
* `showProgress` (Boolean) – om en fremdriftsindikator skal vises [1][3].
* `pdfLayoutName` (String) – navn på egendefinert PDF-layout [1].
* `order` (Array) – rekkefølgen på sidene [1][3].
* `excludeFromPdf` (Array) – sider som skal ekskluderes fra PDF [1].
* `expandedWidth` (Boolean) – om utvidet skjemabredde skal brukes [1].

**Navigasjon og gruppering** (beskrevet i dokumentasjonen for navigasjon [2]):
* `groups` (Array) – erstatter `order` dersom du vil gruppere sider og vise dem i en sidemeny. Hver gruppe kan konfigureres med parametere som `name`, `type`, `markWhenCompleted`, `expandedByDefault` og `order` [1][2].
* `taskNavigation` (Array) – for å vise hele prosessen (tasks) i navigasjonsmenyen for det aktuelle layout-settet [2].

Merk at `groups` og `order` er alternative måter å definere siderekkefølgen på; du bruker enten `order` eller `groups` [2].",
e6a21e29-a891-4253-8847-a2a0a2b091a8,2026-06-14T18:14:57.392745Z,kimi-deployed,wg-studio-02-sideinnstillinger,1,public-docs,new,"compound,lookup,altinn-studio,list",complete,0,false,chunks+answer,true,partial,0.75,"Kandidaten oppgir alle innstillingene i referansen med riktige beskrivelser, men legger til `taskNavigation` som en støttet `pages`-innstilling selv om dette ikke inngår i referansens uttømmende liste.",gpt-5.5,2,"Spørsmålet bruker direkte dokumentasjonsvokabular og etterspør en kort liste fra én relevant Settings.json-seksjon, selv om listen har flere elementer.",1.0,1.0,1.0,1.0,true,10,true,10,true,"d20cbf3c2523d R20.0 P2.6 h2.0 or0.8 L8265 1/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Pages","dd8e7dc7970dc R22.5 P2.6 h2.0 or1.0 L8500 1/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Pages ;; db3763b2a78e8 R21.2 P2.5 h2.0 or0.7 L2453 1/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Navigation ;; da2ec266ed286 R21.0 P2.5 h2.0 or0.9 L792 1/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Translation ;; d526545cb3e8a R20.9 P1.2 h1.0 or0.1 L10655 7/? ty:metadata b[0.0,0.0,0.0,0.1,0.1,0.0] | Image ;; df76ce6bfe672 R20.3 P1.5 h1.0 or1.0 L5804 4/? ty:content b[0.0,0.0,0.0,0.4,0.0,0.0] | Migrating from v3 ;; d6bbc6089980b R20.2 P2.6 h2.0 or1.2 L6259 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Whats new ;; da710f777eb10 R20.2 P2.5 h2.0 or1.2 L6308 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Whats new ;; dd95d23ee2764 R20.1 P2.5 h2.0 or0.6 L7426 5/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Whats new",1,Settings.json pages object Altinn app | pages innstillinger Settings.json Altinn | Settings.json pages order excludeFromPdf Altinn 3 | pages settings Altinn app configuration,false,,0,2,2,1,d2209cafc7cc;7273bb362791,d2209cafc7cc;7273bb362791,d2209cafc7cc,356401,4929,608,5537,0,2,0,tool_calls,false,false,3," I `pages`-objektet i `Settings.json` kan du konfigurere følgende egenskaper for sidene i en Altinn-app (per layout-sett):

* `order` – angir rekkefølgen på sidene [1]
* `excludeFromPdf` – liste over sider som skal ekskluderes fra PDF [1]
* `hideCloseButton` – om tilbake til innboks-knappen øverst i venstre hjørne skal skjules [1]
* `showLanguageSelector` – om språkvelgeren skal vises [1]
* `showExpandWidthButton` – om utvid-bredde-knappen skal vises [1]
* `showProgress` – om fremdriftsindikatoren skal vises [1]
* `pdfLayoutName` – navnet på egendefinert PDF-layout [1]
* `groups` – gruppering av sider i stedet for `order`; hver gruppe kan ha parametre som `name`, `type`, `markWhenCompleted`, `expandedByDefault` og `order` [1][2]
* `expandedWidth` – om skjemasiden som standard skal bruke utvidet bredde [1]
* `taskNavigation` – konfigurasjon for å vise prosess/steg i navigasjonsmenyen for layout-settet [2]

Merk at `order` og `groups` er alternative fremgangsmåter for navigasjon; du bruker `groups` når sidene skal vises i en sidemeny med grupper [2]. Egenskapen `taskNavigation` kan også settes for hele appen i `layout-sets.json`, men inne i `Settings.json` plasseres den altså under `pages` og gjelder per layout-sett [2].",
31e44a53-6f59-49c9-b268-344ea04aa353,2026-06-14T18:16:06.029043Z,kimi-deployed,wg-studio-02-sideinnstillinger,2,public-docs,new,"compound,lookup,altinn-studio,list",complete,0,false,chunks+answer,true,correct,0.9,"Kandidaten lister alle innstillingene fra referansen med riktige typer og hovedbetydning, selv om noen beskrivelser bare gis via lenketekst i stedet for full forklaring.",gpt-5.5,2,Spørsmålet bruker dokumentasjonens egne begreper og etterspør en eksplisitt liste som sannsynligvis finnes samlet i én relevant dokumentasjonsdel.,1.0,1.0,1.0,1.0,true,1,true,1,true,"d20cbf3c2523d R20.2 P2.6 h2.0 or1.0 L8265 1/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Pages",,1,pages-objektet i settings json | settings json pages order | innstillinger for pages i settings json | konfigurere pages i settings json | settings json page order,false,,0,1,1,1,d2209cafc7cc,d2209cafc7cc,d2209cafc7cc,425037,6329,600,6929,0,3,0,tool_calls,false,false,3," Ifølge konteksten kan følgende innstillinger konfigureres i `pages`-objektet i `Settings.json` [1]:

| Egenskap | Type | Beskrivelse |
| --- | --- | --- |
| `hideCloseButton` | Boolean | Om tilbake til innboks-knappen øverst i venstre hjørne skal skjules eller ikke. |
| `showLanguageSelector` | Boolean | Om språkvelgeren skal vises eller ikke. Lar brukeren bytte språk etter de har startet skjemautfyllingen. |
| `showExpandWidthButton` | Boolean | Om utvid bredde-knappen skal vises eller ikke. Lar brukeren utvide bredden til siden slik at den fyller hele nettleservinduet. |
| `showProgress` | Boolean | Se [Navigasjon](/nb/altinn-studio/v8/reference/ux/pages/navigation/#vise-en-fremdriftsindikator). |
| `pdfLayoutName` | String | Se [PDF](/nb/altinn-studio/v8/reference/ux/pdf/#egendefinert-konfigurasjon). |
| `order` | Array | Se [Navigasjon](/nb/altinn-studio/v8/reference/ux/pages/navigation/#vise-en-sidemeny-med-rekkefølgen-på-sideroppgaver). |
| `groups` | Array | Se [Navigasjon](/nb/altinn-studio/v8/reference/ux/pages/navigation/#gruppere-sider). |
| `excludeFromPdf` | Array | Se [PDF](/nb/altinn-studio/v8/reference/ux/pdf/#automatisk-konfigurasjon). |
| `expandedWidth` | Boolean | Se [Utvidet skjemabredde](#utvidet-skjemabredde). |

I tillegg viser eksempelet i konteksten at `pdfLayoutName` også kan angis i `pages`-objektet [1].",
9f410399-ab81-48e4-a798-1975c0cce996,2026-06-14T19:15:43.682948Z,kimi-deployed,wg-apptmpl-02-app-process-components,0,public-docs,new,"compound,lookup,altinn-3-general,list",complete,0,false,chunks+answer,true,correct,0.9,"The candidate identifies all key components and responsibilities from the reference—Process API, process service, BPMN reader, and app logic on state changes—with no substantive contradictions, though it adds some implementation-file specifics not required by the reference.",gpt-5.5,2,"The question asks for a short list of explicitly documented components using the same terminology as the corpus, likely answerable from one relevant architecture chunk.",1.0,1.0,1.0,1.0,true,2,true,2,true,"d34120f8cce3c R25.6 P2.6 h2.0 or1.3 L1492 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Process","d3010c03cb6f3 R25.9 P2.7 h2.0 or1.5 L1509 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Process",1,BPMN process Altinn App Backend components | handle BPMN process backend components | BPMN engine Altinn App | process engine Altinn 3 backend | BPMN workflow components Altinn App Backend,false,,0,5,3,1,8c1477bcab54;036b93352353;1f6c6e8975f7;57f6ad7996a2;b9a2275bc070,8c1477bcab54;036b93352353;b9a2275bc070,036b93352353,218664,4568,376,4944,0,2,0,tool_calls,false,false,3," According to the sources, the BPMN process in the Altinn App Backend is handled by several distinct components:

- **Process API**: A separate API that exposes functionality to clients to control the process, implemented in `ProcessController.cs` [1][2].
- **Process service**: The location of the business logic for BPMN processing; it is responsible for verifying state and changes of state, implemented in `ProcessAppSI.cs` [1][2].
- **BPMN reader**: The component that parses the BPMN process in apps, implemented in `BpmnReader.cs` [1][2].
- **App logic components**: When the app process changes state, app logic is run via `AppBase.cs` and `IAltinnApp`, making it possible for app developers to implement specific app logic [1][2].

Additionally, source [3] refers to a **process engine** (noting a restructure and support for BPMN gateways) and mentions an API added to expose the BPMN process, but it does not provide the same granular component breakdown found in [1] and [2].",
