run-id,timestamp,config-id,question-id,repeat,dataset,source,question-tags,status,clarification-rounds,terminal-clarification?,grounding-mode,answer-substring-hit?,answer-judge-verdict,answer-judge-score,answer-judge-rationale,answer-judge-model,task-difficulty,task-difficulty-rationale,recall-at-5,recall-at-10,recall-at-20,citation-recall,golden-in-search-pool?,golden-pool-rank,golden-in-display?,golden-display-rank,golden-read?,golden-features,pool-head,search-passes,issued-queries,insufficiency-fired?,refinement-corpus-grounded?,enrichment-hits,n-retrieved,n-cited,n-expected,retrieved-chunk-ids,cited-chunk-ids,expected-chunk-ids,elapsed-ms,prompt-tokens,completion-tokens,total-tokens,cached-tokens,llm-calls,reasoning-tokens,finish-reason,length-finish?,empty?,steps-executed,response,error
112c1edd-fd83-4c35-a28c-2e9250733717,2026-06-08T13:06:13.556324Z,snippet-AB,ue-broker-03-store-filer-virusskann,0,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,incorrect,0.0,"The candidate fails to provide the reference facts that files over 2 GB are supported only when virus scanning is disabled with Altinn pre-approval, and that the theoretical maximum is 1.6 TB / about 1600 GB.",gpt-5.5,2,The question uses direct terminology and asks for a short conditional fact and maximum size likely found in a single Broker documentation chunk.,0.0,0.0,0.0,0.0,false,,false,,false,,,0,,false,,0,0,0,1,,,462659d19025,48478,2945,218,3163,0,2,161,stop,false,false,3,"

Based on a comprehensive review of all available sources in our provided knowledge base regarding **Altinn Broker**, no specific documentation was retrieved detailing file size restrictions, nor does the literature specify whether payloads exceeding 2GB are supported. 

Consequently, we cannot confirm from this set of developer documents what the maximum allowed file upload limit is or if larger files can be successfully routed through Altinn Broker without error. If you need to handle large data volumes in production, please consult broader system architecture guidelines directly with the development team, as those details fall outside the scope of the retrieved technical documentation.",
f40132c1-a6cc-4b7a-8f7b-0ffe547cd24f,2026-06-08T13:08:02.835223Z,snippet-AB+read-hi,ue-broker-03-store-filer-virusskann,0,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,incorrect,0.1,"The candidate incorrectly concludes that support for files over 2GB and the maximum size cannot be confirmed, missing the key facts that larger files are supported only without virus scanning and that the theoretical maximum is 1.6 TB.",gpt-5.5,2,"The question uses direct terminology and asks for a short conditional limit likely found in a single Broker limits/source chunk, though it requires noting the virus-scan exception.",0.0,0.0,0.0,0.0,true,51,false,,false,"df9c39f17a534 R— P1.2 h1.0 or0.3 L693 0/? ty:hypothetical-questions b[0.1,0.0,0.0,0.0,0.1,0.0] +q | Very large files","d479e27df943e R24.2 P3.6 h3.0 or1.8 L2440 0/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | What do you get ;; db6c43b81c669 R22.7 P2.4 h2.0 or0.7 L2528 2/? ty:content+hypothetical-questions b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Technical overview ;; d0fd4df1a9003 R22.1 P4.7 h4.0 or1.7 L2833 1/? ty:content+hypothetical-questions+metadata+phrase b[0.0,0.0,0.0,0.5,0.1,0.0] +q | News ;; db55635ab8974 R20.8 P4.7 h4.0 or1.4 L1198 1/? ty:content+hypothetical-questions+metadata+phrase b[0.0,0.0,0.0,0.5,0.1,0.0] +q | About ;; d7a17bf22a348 R20.7 P2.5 h2.0 or0.3 L1849 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Rate limits ;; d479e27df943e R20.6 P3.5 h3.0 or0.8 L1353 1/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | What do you get ;; d32b33dd7d78f R20.5 P3.6 h3.0 or0.7 L1578 0/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Broker ;; db55635ab8974 R20.1 P4.7 h4.0 or1.4 L1424 2/? ty:content+hypothetical-questions+metadata+phrase b[0.0,0.0,0.0,0.5,0.1,0.0] +q | About",1,Altinn Broker maximum file size | Altinn Broker large files upload limit | file transfer 2GB Altinn Broker,false,,32,1,1,1,050f67e402d9,050f67e402d9,462659d19025,109274,6374,442,6816,0,2,223,tool_calls,false,false,3,"

Based on the provided context, only a single specific operation is addressed regarding file size constraints: `POST /broker/api/v1/filetransfer/upload`, which explicitly has a limit of 2GB [1]. The source does not state whether Altinn Broker as a whole accommodates files larger than 2GB, nor does it define maximum limits for alternative approaches like initializing and uploading in two separate operations with the streaming endpoint. Therefore, based strictly on this text, you cannot confirm system-wide support for files over 2GB or determine a general maximum file size; only the 2GB limit for that specific form-data operation is confirmed [1].",
7832ccad-c1ab-4a15-b746-109bc6073295,2026-06-08T13:08:21.322246Z,snippet-AB,ue-broker-03-store-filer-virusskann,1,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,incorrect,0.0,"The candidate does not answer the question or provide any of the required facts about the 2 GB default virus-scan limit, the conditional ability to exceed it, pre-approval, or the 1.6 TB theoretical maximum.",gpt-5.5,2,The question uses direct Altinn Broker terminology and asks for a specific limit and condition likely stated together in one relevant documentation chunk.,0.0,0.0,0.0,0.0,false,,false,,false,,,0,,false,,0,0,0,1,,,462659d19025,18485,2955,264,3219,0,2,194,stop,false,false,3,"

I will search for information about file size limits in Altinn Broker. Let me try several queries related to ""Altinn Broker"", ""file size limit"" (in Norwegian: filstørrelse, maks) and message sizes.

SEARCH(queries=[""Altinn Broker filstørrelse max"", ""broker maxSize 2GB"", ""App Events broker file upload""])


I will search for information about file size limits in Altinn Broker using the `search` tool with queries related to ""file size limit"" (Norwegian: ""filstørrelse"" or ""maks"") and general App Event/Altinn Broker specifications.",
6a1f5fed-6cd8-42c0-a229-858244507f88,2026-06-08T13:09:55.084918Z,snippet-AB+read-hi,ue-broker-03-store-filer-virusskann,1,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,correct,0.85,"The candidate correctly states that files over 2 GB require virus scanning to be disabled with pre-approval and gives the 1600 GB maximum, though it omits the 100 GB benchmarking detail and appears truncated.",gpt-5.5,2,The question uses direct Broker/file-size terminology and asks for a short conditional limit likely found in one relevant documentation chunk.,1.0,1.0,1.0,1.0,true,2,true,2,true,"df9c39f17a534 R18.9 P3.7 h3.0 or1.2 L693 0/? ty:content+hypothetical-questions+phrase b[0.1,0.0,0.0,0.4,0.1,0.0] +q | Very large files","d0fd4df1a9003 R19.1 P4.7 h4.0 or1.9 L2833 1/? ty:content+hypothetical-questions+metadata+phrase b[0.0,0.0,0.0,0.5,0.1,0.0] +q | News",1,altinn broker maximum file size limit upload failed 2GB attachment mb gb megabyte giga | uploadfailed maks tillatt størrelse fil altinn brokær | brokersendingsrequest max attachments size sending large files,false,,47,3,3,1,462659d19025;c5abb06660fa;0127378417da,462659d19025;c5abb06660fa;0127378417da,462659d19025,93760,8203,528,8731,0,3,303,tool_calls,false,false,3,"

Yes, you can send files larger than 2 GB through Altinn Broker, but only if the receiving resource has disabled virus scanning [1], [3]. By default, file transfers are restricted to up to 2 GB due to restrictions with the virus scan [1], [2]. For resources that disable virus scanning, pre-approval is required to mitigate potential legal risks [1], [2].

Regarding the maximum file size, the sources specify different thresholds depending on configuration and testing scope:
- **Supported limit without antivirus:** The system officially supports transfers of up to 1600 GB when virus scanning is disabled (while keeping the default 2 GB limit when it is enabled) [3]. 
- **Theoretical vs. practical benchmarking:** This capacity is described as a theoretical maximum; in practice, file handling a…",
3701076b-c170-4965-aaa4-d9dc7f634348,2026-06-08T13:11:57.541798Z,snippet-AB,ue-broker-03-store-filer-virusskann,2,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,partial,0.7,"The candidate correctly states the 2 GB limit with virus scanning and 1600 GB without it, but omits the important condition that disabling virus scanning requires pre-approval from Altinn and that 2 GB is the default due to virus scanning.",gpt-5.5,2,The question uses direct Broker/file-size vocabulary and the answer is a short conditional fact likely found in one relevant documentation chunk.,0.0,0.0,0.0,0.0,true,40,false,,false,"df9c39f17a534 R8.4 P2.2 h2.0 or0.3 L693 0/? ty:hypothetical-questions+phrase b[0.1,0.0,0.0,0.1,0.1,0.0] +q | Very large files","d66fc9e336d8d R20.3 P2.5 h2.0 or0.7 L1613 0/? ty:content+hypothetical-questions b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Broker ;; d986fa1bb0934 R19.8 P1.4 h1.0 or0.6 L2447 0/? ty:content b[0.0,0.0,0.0,0.4,0.0,0.0] | What do you get ;; db35ba60edb88 R19.2 P1.5 h1.0 or0.4 L1423 2/? ty:content b[0.0,0.0,0.0,0.4,0.1,0.0] | About ;; d233db9c21941 R18.9 P1.4 h1.0 or0.6 L10147 0/? ty:content b[0.0,0.0,0.0,0.4,0.0,0.0] | Notifications ;; d9e6a5b635290 R17.6 P1.4 h1.0 or0.4 L1139 1/? ty:content b[0.0,0.0,0.0,0.4,0.0,0.0] | Transition ;; d54347e9612dc R17.1 P1.4 h1.0 or0.6 L1641 2/? ty:content b[0.0,0.0,0.0,0.4,0.0,0.0] | About use of cloud ;; d469e741743b5 R16.5 P1.5 h1.0 or1.0 L65932 9/? ty:content b[0.0,0.0,0.0,0.4,0.0,0.0] | Expressions ;; d54347e9612dc R16.3 P1.4 h1.0 or0.4 L1117 1/? ty:content b[0.0,0.0,0.0,0.4,0.0,0.0] | About use of cloud",1,hva er maks filstørrelse for altinn broker når man sender store vedlegg | Altinn Broker file size limit max storage transfer large files | receiving files using Altinn Broker attachment limits,false,,47,4,1,1,989cc83e5afc;4ee08d566f29;9fb411afc088;0127378417da,0127378417da,462659d19025,122450,15688,634,16322,0,4,375,tool_calls,false,false,3,"

Yes, you can send files larger than 2GB through Altinn Broker [1]. The maximum supported file size depends on your configuration for antivirus protection:
- Up to **1600 GB** without virus scanning [1].
- Up to **2 GB** with virus scanning [1].",
015c028b-25f9-4448-95a7-5dfade4242f1,2026-06-08T13:14:02.753701Z,snippet-AB+read-hi,ue-broker-03-store-filer-virusskann,2,public-docs,new,"altinn-broker,hard",complete,0,false,chunks+answer,true,incorrect,0.2,The candidate repeats a 2 GB limit for one upload endpoint but incorrectly implies larger files cannot be sent generally and omits the key condition of disabling virus scanning with pre-approval and the 1.6 TB theoretical maximum.,gpt-5.5,3,The question uses direct Broker/file-size vocabulary but requires capturing a conditional limit and maximum-size nuance rather than a single simple fact.,0.0,0.0,0.0,0.0,true,93,false,,false,"df9c39f17a534 R— P1.0 h1.0 or0.3 L693 0/? ty:hypothetical-questions b[0.0,0.0,0.0,0.0,0.0,0.0] +q | Very large files","d479e27df943e R21.6 P2.6 h2.0 or0.5 L2440 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | What do you get ;; d7a17bf22a348 R21.6 P2.5 h2.0 or0.5 L1849 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Rate limits ;; d9ef4ca9820a6 R19.9 P3.9 h3.0 or1.3 L1503 1/? ty:content+metadata+phrase b[0.0,0.0,0.0,0.5,0.2,0.0] | Attachments ;; d9ef4ca9820a6 R19.3 P2.8 h2.0 or1.2 L4006 3/? ty:content+metadata b[0.0,0.0,0.0,0.4,0.2,0.0] | Attachments ;; d0fd4df1a9003 R18.8 P2.2 h2.0 or0.2 L2833 1/? ty:hypothetical-questions+phrase b[0.0,0.0,0.0,0.1,0.1,0.0] +q | News ;; dfc4f74301e59 R18.2 P3.6 h3.0 or1.0 L1362 2/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Basic concepts ;; d375dd431865e R17.8 P3.6 h3.0 or0.3 L1034 2/? ty:content+metadata+phrase b[0.0,0.0,0.0,0.5,0.1,0.0] | Send files ;; db55635ab8974 R17.6 P1.6 h1.0 or0.5 L1424 2/? ty:content b[0.0,0.0,0.0,0.4,0.2,0.0] | About",1,what is altinn broker s maximum file size limit for uploads | file upload accepted attachment types max number of attachments max file size in mb | upload a file to the broker filestore altinn 2,false,,45,2,2,1,050f67e402d9;39c780dca91d,050f67e402d9;39c780dca91d,462659d19025,125208,8069,500,8569,0,3,276,tool_calls,false,false,3,"

Based on the provided context:

You **cannot send files larger than 2 GB** when using the specific `POST /broker/api/v1/filetransfer/upload` endpoint as a single, one-step operation with form-data serialization [1]. The documentation explicitly states that this ""operation is limited to 2GB file size"" [1].

There are two additional points regarding maximum sizes and alternatives:
- **Streaming Endpoint Alternative:** The source notes that better performance can be achieved by initializing and uploading in two separate operations via a streaming endpoint instead of the single form-data operation [1]. However, the provided text does not specify whether this alternative method removes or changes the 2 GB cap. 
- **Application Component Configuration:** When dealing with file attachments thro…",
efd0e0a3-49fa-45cd-8ef6-71826cffd2cf,2026-06-08T13:16:09.357634Z,snippet-AB,ue-events-01-abonnement-filtre,0,public-docs,new,"altinn-events,hard",complete,0,false,chunks+answer,true,partial,0.4,"Svaret nevner noen riktige filtre og krav, men mangler `sourceFilter` og `typeFilter` som mulige filtre og forklarer ikke hovedpoenget om at en tom `typeFilter` gir eksakt match mot ingen hendelsestype og derfor ingen hendelser.",gpt-5.5,3,"Spørsmålet bruker dokumentasjonens egne filtertermer, men krever en kort liste med krav/valgfrie filtre samt en forklaring av en spesifikk kanttilfelle-adferd fra samme tema.",0.5,0.5,0.5,0.5,true,2,true,2,true,"d23a9d95b4a7b R— P3.7 h3.0 or1.6 L6302 1/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Setup subscription","dceb922e09bb8 R— P4.7 h4.0 or1.2 L705 4/? ty:content+hypothetical-questions+metadata+phrase b[0.0,0.0,0.0,0.5,0.1,0.0] +q | Informationmodel",1,altinn events subscription filters typefilter | typeFilter empty string returns no results altinn | Altinn Events abonnementsfelter filtrere,false,,38,1,1,2,4aa2b0740446,4aa2b0740446,a7d7ed7a67e4;4aa2b0740446,126599,6758,410,7168,0,3,163,tool_calls,false,false,3,"

Basert på dokumentasjonen for Altinn Events kan du bruke følgende filtre ved opprettelse av et abonnement [1]:

- **`resourceFilter`**: Påkrevd filter som matcher hendelsens ressursfelt med eksakt match (f.eks. `urn:altinn:resource:...`) [1]. Kan i visse tilfeller fylles ut automatisk basert på en gyldig app-killev URL for backward compatibility [1].
- **`subjectFilter`**: Filtrerer etter CloudEvent-subjektet med eksakt match og er påkrevd (med mindre du er Service owner, som kan abonnere uavhengig av subjekt/parti) [1]. Mulige verdier inkluderer `/party/{partyid}`, `urn:altinn:organization:...` eller `urn:altinn:person:...` [1].
- **`alternativeSubjectFilter`**: Alternativ filterverdi basert på lesbar tekst (f.eks. `/org/...` eller `/person/...`) som Altinn Events bruker til å generere …",
2c1be8ec-bafe-4fbf-8d05-f3efe68766b7,2026-06-08T13:19:12.949220Z,snippet-AB+read-hi,ue-events-01-abonnement-filtre,0,public-docs,new,"altinn-events,hard",complete,0,false,chunks+answer,true,partial,0.35,"The answer identifies some filters and requiredness, but omits the optional sourceFilter/alternativeSubjectFilter/typeFilter list and fails to explain the key point that an empty typeFilter exact-matches no event type so the filter should be omitted; it also muddles resourceFilter as filtering the source field.",gpt-5.5,3,The question uses direct Altinn Events vocabulary but asks a two-part answer requiring the filter list plus the exact-match/empty typeFilter behavior from the subscription documentation.,0.5,0.5,0.5,0.5,true,17,true,17,true,"d23a9d95b4a7b R12.8 P2.7 h2.0 or1.1 L6302 1/? ty:content+phrase b[0.1,0.0,0.0,0.4,0.1,0.0] | Setup subscription","ddabe88fb244e R23.0 P3.7 h3.0 or1.8 L5909 0/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Events ;; dda315c0bf7a6 R22.4 P2.5 h2.0 or0.3 L2850 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Events ;; d07c5300e222a R20.8 P2.3 h2.0 or0.8 L400 1/? ty:hypothetical-questions+metadata b[0.0,0.0,0.0,0.1,0.1,0.0] +q | Detecting changes ;; d289753b2d062 R19.5 P3.3 h3.0 or1.1 L935 6/? ty:hypothetical-questions+metadata+phrase b[0.0,0.0,0.0,0.1,0.1,0.0] +q | Events ;; d03002f8d046a R19.4 P2.5 h2.0 or1.1 L1139 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Subscribing ;; d10e66370a75f R19.4 P2.3 h2.0 or0.7 L1290 2/? ty:hypothetical-questions+metadata b[0.0,0.0,0.0,0.1,0.1,0.0] +q | Events ;; dae894f1e7b46 R19.2 P2.2 h2.0 or0.8 L679 0/? ty:hypothetical-questions+phrase b[0.0,0.0,0.0,0.1,0.0,0.0] +q | Query events ;; d771a2f1ad237 R19.0 P2.2 h2.0 or0.4 L515 0/? ty:hypothetical-questions+phrase b[0.0,0.0,0.0,0.1,0.0,0.0] +q | Publish events",1,hvordan opprette abonnement hendelser med typefilter i altinn events | api setup event subscriptions filter types | oppette et abonnement hendelse typefilter konfigurere | altinn events subscription filter settings,false,,73,3,1,2,4aa2b0740446;8bb635f66b39;cc7efb9e2afd,4aa2b0740446,a7d7ed7a67e4;4aa2b0740446,183585,8465,468,8933,0,3,228,tool_calls,false,false,3,"

Basert på dokumentasjonen kan du bruke følgende filtre når du oppretter et abonnement i Altinn Events [1]:

* **`resourceFilter`** (Påkrevd): Filtrerer etter hendelsens kildefelt med eksakt match, f.eks. `urn:altinn:resource:app_digdir_demoapp`. For backwards compatibility kan dette feltet automatisk fylles ut av Altinn Events basert på en gyldig URL oppgitt i `sourceFilter` [1].
* **`subjectFilter`** (Påkrevd med mindre du er Service owner): Filtrerer etter cloud event sin `subject`-felt ved eksakt match. Mulige verdier inkluderer `/party/{partyid}`, `urn:altinn:organization:identifier-no:{organisasjonsnummer}` eller `urn:altinn:person:identifier-no:{fødselsnummer}` [1]. ⚠️ Å sette dette feltet til tom streng (`""""`) vil også føre til at abonnementet stilt feiler med å levere hendelser […",
b81e7910-4fb8-4188-a5c5-d59336efb92f,2026-06-08T13:19:30.354089Z,snippet-AB,ue-events-01-abonnement-filtre,1,public-docs,new,"altinn-events,hard",complete,0,false,chunks+answer,true,incorrect,0.0,The candidate does not answer the question or provide any of the required facts about available filters or why an empty typeFilter yields no events.,gpt-5.5,3,"The question uses direct Altinn Events terminology but is two-part and requires both listing subscription filters and explaining the exact-match behavior for an empty typeFilter, likely from the same documentation area.",0.0,0.0,0.0,0.0,false,,false,,false,,,0,,false,,0,0,0,2,,,a7d7ed7a67e4;4aa2b0740446,17319,2951,338,3289,0,2,262,stop,false,false,3,"

Jeg søker etter informasjon om abonnement i Altinn Events (Cloud Event-tjenesten), hvilke filtre som kan settes og hvordan typeFilter fungerer, spesielt ved tom streng-verdi.",
5d0149f2-ca8d-444d-b7a4-e560ec269fa2,2026-06-08T13:21:21.812471Z,snippet-AB+read-hi,ue-events-01-abonnement-filtre,1,public-docs,new,"altinn-events,hard",complete,0,false,chunks+answer,true,partial,0.45,"The candidate identifies some subscription filters and required/optional status, but it is truncated and omits `typeFilter` and the key explanation that an empty `typeFilter` is an exact match against no event type so no events are received and the filter should be omitted instead.",gpt-5.5,2,The question uses the documentation’s own terms and asks for a short list plus one directly related behavior that is likely covered in the same subscription-filter documentation.,0.5,0.5,0.5,0.5,true,7,true,7,true,"d23a9d95b4a7b R20.3 P3.7 h3.0 or1.8 L6302 1/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Setup subscription","d07c5300e222a R21.1 P2.2 h2.0 or0.7 L400 1/? ty:hypothetical-questions+metadata b[0.0,0.0,0.0,0.1,0.1,0.0] +q | Detecting changes ;; d1d3821bf607c R21.0 P2.6 h2.0 or0.9 L2782 0/? ty:content+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] | Events ;; d88a046dc8cb8 R21.0 P2.2 h2.0 or0.3 L1286 1/? ty:hypothetical-questions+phrase b[0.0,0.0,0.0,0.1,0.0,0.0] +q | Events ;; d289753b2d062 R20.8 P2.6 h2.0 or1.2 L490 4/? ty:content+hypothetical-questions b[0.0,0.0,0.0,0.4,0.1,0.0] +q | Events ;; d88a046dc8cb8 R20.7 P3.6 h3.0 or1.0 L480 4/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.1,0.0] +q | Events ;; d7a010952d7b4 R20.7 P3.7 h3.0 or1.7 L6240 0/? ty:content+hypothetical-questions+phrase b[0.0,0.0,0.0,0.4,0.0,0.0] +q | Events",1,Altinn Events abonnement subskripsjon filter | typefilter tom streng hendelser | event subscription filters parameters,false,,56,2,2,2,a7d7ed7a67e4;1e76b7265ace,a7d7ed7a67e4;1e76b7265ace,a7d7ed7a67e4;4aa2b0740446,111456,8212,434,8646,0,3,266,tool_calls,false,false,3,"

Basert på dokumentasjonen kan du sette følgende filtre når du oppretter et abonnement i Altinn Events:

### Påkrevde filtre
- **`resourceFilter`**: Filter for hendelseskilden [1]. Dette feltet er obligatorisk, men Altinn Events fyller det ofte automatisk ut basert på `source`-verdien dersom dette peker til en gyldig App i Altinn Studio [1].
- **`subjectFilter`**: Eksakt filter for cloud event-subjektet (f.eks. `/party/{partyid}`, `urn:altinn:organization:...` eller `urn:altinn:person:...`) [1] Feltet er påkrevd med mindre du er tjenesteeier, som kan abonnere bredt uten å angi dette feltet [1].

### Valgfrie filtre/egenskaper
- **`sourceFilter`**: Filter for cloud event-kilden (f.eks. en URL til appen) [1] Holdes i hovedsak for bakoverkompatibilitet [1]
- **`alternativeSubjectFilter`**: B…",
